index,date,site.name,plot.id,type,species,family,diameter_cm,basal.area_sq.cm,height_m,Remarks
1,15.11.2010,Hathure,1,FRAGMENT,Nothopegia beddomei,Anacardiaceae,8.6,58.09,7,None
2,15.11.2010,Hathure,1,FRAGMENT,Actinodaphne malabarica,Lauraceae,9.2,66.48,8,None
3,15.11.2010,Hathure,1,FRAGMENT,Knema attenuata,Myristicaceae,4.5,15.9,6,None
4,15.11.2010,Hathure,1,FRAGMENT,Dimocarpus longan,Sapindaceae,4.8,18.1,6,None
5,15.11.2010,Hathure,1,FRAGMENT,Nothopegia beddomei,Anacardiaceae,3.2,8.04,6,None
6,15.11.2010,Hathure,1,FRAGMENT,Nothopegia beddomei,Anacardiaceae,4.5,15.9,7,None
7,15.11.2010,Hathure,1,FRAGMENT,Dimocarpus longan,Sapindaceae,5.7,25.52,8,None
8,15.11.2010,Hathure,1,FRAGMENT,Dimocarpus longan,Sapindaceae,3.5,9.62,NA,cut/broken
9,15.11.2010,Hathure,1,FRAGMENT,Dimocarpus longan,Sapindaceae,4.8,18.1,NA,cut/broken
10,15.11.2010,Hathure,1,FRAGMENT,Chionanthus malabaricus,Oleaceae,7.6,45.36,7,None
11,15.11.2010,Hathure,1,FRAGMENT,Holigarna grahamii,Anacardiaceae,7,38.48,7,None
12,15.11.2010,Hathure,1,FRAGMENT,Diospyros sylvatica,Ebenaceae,5.4,22.9,8,None
13,15.11.2010,Hathure,1,FRAGMENT,Dimocarpus longan,Sapindaceae,3.5,9.62,6,None
14,15.11.2010,Hathure,1,FRAGMENT,Holigarna grahamii,Anacardiaceae,3.5,9.62,6,None
15,15.11.2010,Hathure,1,FRAGMENT,Dimocarpus longan,Sapindaceae,6,28.27,7,None
16,15.11.2010,Hathure,1,FRAGMENT,NA,NA,5.4,22.9,5.5,None
17,15.11.2010,Hathure,1,FRAGMENT,Diospyros sylvatica,Ebenaceae,18.1,257.3,6,None
18,15.11.2010,Hathure,1,FRAGMENT,Dimocarpus longan,Sapindaceae,5.1,20.43,7,None
