treatment,forest_type,plot_ID,gbh_cm,gbh_cm_stem2,gbh_cm_stem3,height_m,code,species_ID,family,ID_level,plotA,plotB,plotC,wd_m,wd_sd,WD_level,type_plot,gf
L1,deciduous,MAT1C5P01,19,NA,NA,4.5,ixosp,Ixora sp,Rubiaceae,G,NA,Y,NA,0.792857143,0.096040666,G,B,T
L1,deciduous,MAT1C5P01,35,NA,NA,9,bomins,Bombax insigne,Bombacaceae,S,Y,Y,NA,0.371231783,0.07320674,G,B,T
L1,deciduous,MAT1C5P01,23,NA,NA,8,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,Y,NA,0.524774716,0.100269141,G,B,T
L1,deciduous,MAT1C5P01,24,NA,NA,8.5,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,Y,NA,0.524774716,0.100269141,G,B,T
L1,deciduous,MAT1C5P01,16.5,NA,NA,8,terman,Terminalia manii,Combretaceae,S,NA,Y,NA,0.66,0.153541295,S,B,T
L1,deciduous,MAT1C5P01,166,NA,NA,30.5,terpro,Terminalia procera,Combretaceae,S,Y,Y,NA,0.52,0.153541295,S,B,T
L1,deciduous,MAT1C5P01,31,NA,NA,8.5,sagell,Sageraea elliptica,Annonaceae,S,Y,Y,NA,0.67,0.086799749,S,B,T
L1,deciduous,MAT1C5P01,15,NA,NA,7,glysp,Glycosmis sp,Rutaceae,G,NA,Y,NA,0.43911,NA,G,B,T
L1,deciduous,MAT1C5P01,23,NA,NA,8,pajrhe,Pajanelia rheedei,Bignoniaceae,S,NA,Y,NA,0.716352,0.252720576,S,B,T
L1,deciduous,MAT1C5P01,18,NA,NA,5.5,dryass,Drypetes assamica,Euphorbioaceae,S,NA,Y,NA,0.706904579,0.075472281,G,B,T
L1,deciduous,MAT1C5P01,10,NA,NA,3,rinben,Rinorea benghalensis,Violaceae,S,NA,Y,NA,0.670555965,0.085450154,G,B,T
L1,deciduous,MAT1C5P01,32,NA,NA,1,diokur,Diospyros kurzii,Ebenaceae,S,Y,Y,NA,0.8,0.130127619,S,B,T
L1,deciduous,MAT1C5P01,13,NA,NA,3.5,rinben,Rinorea benghalensis,Violaceae,S,NA,Y,NA,0.670555965,0.085450154,G,B,T
L1,deciduous,MAT1C5P01,25,NA,NA,6,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,Y,NA,0.524774716,0.100269141,G,B,T
L1,deciduous,MAT1C5P01,106,NA,NA,19.5,diland,Dillenia andamanica,Dilleniaceae,S,Y,Y,NA,0.61240513,0.066353381,G,B,T
L1,deciduous,MAT1C5P01,18,NA,NA,9,dioooc,Diospyros oocarpa,Ebenaceae,S,NA,Y,NA,0.69718256,0.130127619,G,B,T
L1,deciduous,MAT1C5P01,14,NA,NA,4,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,Y,NA,0.524774716,0.100269141,G,B,T
L1,deciduous,MAT1C5P01,144,NA,NA,19.5,diland,Dillenia andamanica,Dilleniaceae,S,Y,Y,NA,0.61240513,0.066353381,G,B,T
L1,deciduous,MAT1C5P01,40,NA,NA,11,diokur,Diospyros kurzii,Ebenaceae,S,Y,Y,NA,0.8,0.130127619,S,B,T
L1,deciduous,MAT1C5P01,14,NA,NA,NA,belsp,Climber species,NA,G,NA,Y,NA,0.569020181,0.047494407,P,B,P
L1,deciduous,MAT1C5P01,10,NA,NA,3,rinben,Rinorea benghalensis,Violaceae,S,NA,Y,NA,0.670555965,0.085450154,G,B,T
L1,deciduous,MAT1C5P01,10.5,NA,NA,3.5,clenit,Cleidion nitidum,Euphorbioaceae,S,NA,Y,NA,0.516666667,0.170098011,G,B,T
L1,deciduous,MAT1C5P01,12,NA,NA,4,unk,unknown,NA,G,NA,Y,NA,0.569020181,0.047494407,P,B,T
L1,deciduous,MAT1C5P01,19,NA,NA,11,grelae,Grewia laevigata,Ulmaceae,S,NA,Y,NA,0.42,0.103219954,S,B,T
L1,deciduous,MAT1C5P01,12.5,NA,NA,4,gonmac,Goniothalamus macranthus,Annonaceae,S,NA,Y,NA,0.44,0.084852814,G,B,T
L1,deciduous,MAT1C5P01,22,NA,NA,4.5,diopyr,Diospyros pyrrhocarpa,Ebenaceae,S,NA,Y,NA,0.64,0.130127619,S,B,T
L1,deciduous,MAT1C5P01,25.5,NA,NA,5.5,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,Y,NA,0.524774716,0.100269141,G,B,T
L1,deciduous,MAT1C5P01,10,NA,NA,3,rinben,Rinorea benghalensis,Violaceae,S,NA,Y,NA,0.670555965,0.085450154,G,B,T
L1,deciduous,MAT1C5P01,74.5,NA,NA,14.5,diland,Dillenia andamanica,Dilleniaceae,S,Y,Y,NA,0.61240513,0.066353381,G,B,T
L1,deciduous,MAT1C5P01,42,NA,NA,9,clenit,Cleidion nitidum,Euphorbioaceae,S,Y,NA,NA,0.516666667,0.170098011,G,A,T
L1,deciduous,MAT1C5P01,30,NA,NA,7,clemyr,Cleistanthus myrianthus,Euphorbioaceae,S,Y,NA,NA,0.535,0.06363961,S,A,T
L1,deciduous,MAT1C5P01,60,NA,NA,13.5,panand,Pandanus andamanica,Pandanaceae,S,Y,NA,NA,0.3309,NA,G,A,T
L1,deciduous,MAT1C5P01,30,NA,NA,NA,belsp,Climber species,NA,G,Y,NA,NA,0.569020181,0.047494407,P,A,P
L1,deciduous,MAT1C5P01,57,NA,NA,8,dryass,Drypetes assamica,Euphorbioaceae,S,Y,NA,NA,0.706904579,0.075472281,G,A,T
L1,deciduous,MAT1C5P01,57,NA,NA,10.5,panand,Pandanus andamanica,Pandanaceae,S,Y,NA,NA,0.3309,NA,G,A,T
L1,deciduous,MAT1C5P01,50,NA,NA,10,dryass,Drypetes assamica,Euphorbioaceae,S,Y,NA,NA,0.706904579,0.075472281,G,A,T
L1,deciduous,MAT1C5P01,30,NA,NA,12,ficsp,Ficus sp,Moraceae,G,Y,NA,NA,0.411557578,0.093306861,G,A,T
L1,deciduous,MAT1C5P01,33.5,NA,NA,9,diopyr,Diospyros pyrrhocarpa,Ebenaceae,S,Y,NA,NA,0.64,0.130127619,S,A,T
L1,deciduous,MAT1C5P01,180,NA,NA,15,ficrum,Ficus rumphii,Moraceae,S,Y,NA,Y,0.400976,0.041046134,S,A,T
L1,deciduous,MAT1C5P01,34,NA,NA,7,pteace,Pterospermum aceroides,Sterculiaceae,S,Y,NA,NA,0.520992806,0.099729288,G,A,T
L1,deciduous,MAT1C5P01,50,NA,NA,NA,belsp,Climber species,NA,G,Y,NA,NA,0.569020181,0.047494407,P,A,P
L1,deciduous,MAT1C5P01,376.8,NA,NA,32.5,ptedal,Pterocarpus dalbergioides,Fabaceae,S,NA,NA,Y,0.62,0.056568542,S,C,T
L1,deciduous,MAT1C5P01,502.4,NA,NA,34.5,ptedal,Pterocarpus dalbergioides,Fabaceae,S,NA,NA,Y,0.62,0.056568542,S,C,T
L1,deciduous,MAT1C5P01,376.8,NA,NA,NA,stump,stump,NA,G,NA,NA,Y,0.569020181,0.047494407,P,C,T
L1,deciduous,MAT1C5P01,196,NA,NA,30.5,terpro,Terminalia procera,Combretaceae,S,NA,NA,Y,0.52,0.153541295,S,C,T
L1,deciduous,MAT1C5P01,245,NA,NA,23.5,pajrhe,Pajanelia rheedei,Bignoniaceae,S,NA,NA,Y,0.716352,0.252720576,S,C,T
L1,deciduous,MAT1C5P01,235,NA,NA,28.5,ptetin,Pterocymbium tinctorium,Sterculiaceae,S,NA,NA,Y,0.25,0.070641633,S,C,T
L1,deciduous,MAT1C5P01,220,NA,NA,28.5,tetnud,Tetrameles nudiflora,Tetramelaceae,S,NA,NA,Y,0.307096,0.048223214,S,C,T
L1,deciduous,MAT1C5P01,204.1,NA,NA,NA,stump,stump,NA,G,NA,NA,Y,0.569020181,0.047494407,P,C,T
L1,deciduous,MAT1C5P01,360,NA,NA,NA,stump,stump,NA,G,NA,NA,Y,0.569020181,0.047494407,P,C,T
L1,deciduous,MAT1C502JR,52,NA,NA,5.5,diopyr,Diospyros pyrrhocarpa,Ebenaceae,S,Y,NA,NA,0.64,0.130127619,S,A,T
L1,deciduous,MAT1C502JR,57,NA,NA,12,crypan,Crypteronia paniculata,Crypteroniaceae,S,Y,NA,NA,0.66359,0.107981877,S,A,T
L1,deciduous,MAT1C502JR,36,NA,NA,11,terman,Terminalia manii,Combretaceae,S,Y,NA,NA,0.66,0.153541295,S,A,T
