,,,,,,To check,To check,To check,To check,To check,To check,To check,To check,To check,,To check,,To check,To check,To check,To check,To check,To fill,To fill,To fill,To fill,To fill,To fill,To fill,To fill,
Sorted_by(round 2),Sorted_by(round 1),randomize,paperID,Row number in level-1,Row number in WoS,Article Title,Abstract,Relevant? (Y/N),Remarks,DOI,Pub_Year,Source Title,Authors,Citation,Notes,Author Keywords,Keywords plus,Affiliations,Addresses,Reprint address,Funding Orgs,Open Access_WoS,latitude_site_decimal,longitude_site_decimal,plot_shape,diameter_for_circular_in_m,dim1_for_rect_in_m,dim2_for_rect_in_m,Open_access,Data_access,Notes
,,,A0872,2,873,"Estimation of carbon pools in secondary tropical deciduous forests of Odisha, India",NA,Y,Plot-based or transects,https://doi.org/10.1007/s11676-020-01119-5,2021,JOURNAL OF FORESTRY RESEARCH,"Pattnayak, S; Kumar, M; Dhal, NK; Sahu, SC",,,Gossan; regolith mapping; hydrothermal alteration; geochemistry; XRF; ICPMS; western Jahajpur belt,EXPLORATION; ELEMENTS,National Institute of Technology (NIT System); National Institute of Technology Raipur,"[Tripathi, Mahesh Kumar; Govil, H.] Natl Inst Technol, Dept Appl Geol, Raipur, CG, India","Tripathi, MK (corresponding author), Natl Inst Technol, Dept Appl Geol, Raipur, CG, India.","Space Application Centre, Indian Space Research organization India [EPSA/4.2/2017]",,,,,,,,,,
,,,A1022,3,1023,Edge effects reduce alpha-diversity but not beta-diversity during community assembly in a human-modified tropical forest,"Edge effects can alter the spatial organization of diversity in fragmented habitats. For tropical forests, however, there has been large variation in the strength and direction of such effects reported by different studies. For long-lived organisms like trees, one reason for inconsistent patterns might be due to most studies having examined patterns of diversity and compositional variation in older life stages that bear the legacy of a forest past. Younger life stages can reveal ongoing processes of assembly, but multi-stage examinations are rare. For seedling, sapling, and adult life stages of trees in a human-modified wet tropical forest in the Western Ghats Biodiversity Hotspot (India), we examined how proximity to forest edges (edge influence) modified the spatial organization of diversity. Specifically, for each life stage we tested whether edge influence led to loss of alpha- and gamma-diversity and decreased beta-diversity in this landscape. We found lower alpha- and gamma-diversity closer to forest edges, but only for seedlings. Seedling composition at 90-100 m from forest edges diverged from composition of sites within 60 m, suggesting that edge influence restricted the recruitment of some species to interior sites. In contrast, beta-diversity was greater near edges than interior forest for all life stages and most prominently for seedlings. Furthermore, beta-diversity at edges was primarily driven by species turnover, suggesting either marked species-environment associations or dispersal limitation. Low turnover at 90-100 m implies that beta-diversity arose from stochastic fluctuations in occurrences and abundances of the same species set. Overall, we find that high beta-diversity structured spatial patterns of diversity near edges, but recruitment bottlenecks are likely to reduce alpha diversity of forest fragments. Our results also corroborate the need to maintain sufficiently large areas of tropical forest free from edge effects to avoid the loss of interior forest species. To improve landscape-scale diversity of fragmented landscapes, restoration efforts should focus on recovery of species that are unable to regenerate near forest edges.",Y,,https://doi.org/10.1002/eap.1996,2019,ECOLOGICAL APPLICATIONS,"Krishnadas, M; Kumar, AN; Comita, LS",,Similar dataset as Osuri et al. 2016,Drainage network; water yield; sediment yield; LU; LC; calibration; watersheds,LAND-USE; WATERSHED SUBDIVISION; GIS; COVER; PRIORITIZATION; IDENTIFICATION; SUBWATERSHEDS; RUNOFF; CALIBRATION; SIMULATION,Jawaharlal Nehru Technological University - Kakinada; Infosys Limited,"[Parupalli, Sridhar] BVRM, SVECW, Civil Engn Dept, Bhimvaram, India; [Kumari, K. Padma] IST, JNTUK, SIT, Kakinada, India; [Ganapuram, Sreedhar] Infosys Ltd, Hyderabad, India","Ganapuram, S (corresponding author), Infosys Ltd, Hyderabad, India.",,,,,,,,,,,
,,,A2665,4,2666,"Patterns of plant species diversity across Terai landscape in north-eastern Uttar Pradesh, India","The north-eastern Uttar Pradesh forms a part of Terai landscape in north India which is drained by two important tributaries of river Ganga viz., Rapti and Gandak. This landscape comprises a mosaic of cultivation, human habitation and natural vegetation that has been heavily used by people. The natural vegetation is broadly divisible into four categories viz., grasslands, secondary scrub, old-fields and forests. Of these, the grasslands were the most species-rich followed by forests, secondary scrub and old-fields. A total of 615 species of angiosperms were recorded within an area of similar to 10,000 km(2) which represent 389 genera and 94 families. Sampling of forested landscape revealed a sizable number of rare species within frequency range of 0.001- 0.1%. These species showed very low seedling abundance and poor regeneration. The overall, landscape level diversity (gamma-diversity) of the forested landscape was 4.035, to which shrubs contributed the most. The scrub vegetation was dominated by woody climbers which frequently formed thickets. Diversity of woody perennials was very low in the plantations. The composition and diversity of various grassland communities have been compared with respect to topography and canopy openings reflecting different light regimes. Suitable measures are suggested for the regeneration and conservation of existing pool of wild flora and those of seral communities across the landscape.",Y,Plot-based or transects,no DOI (manual),2009,TROPICAL ECOLOGY,"Shukla, RP",,,Clustering; genetic variation; Murraya paniculata,VNTR CORE SEQUENCES; RAPD; DIVERSITY; DNA; POLYMORPHISMS; CULTIVARS; DISTANCE; MARKERS; RFLP; PCR,Council of Scientific & Industrial Research (CSIR) - India; CSIR - National Botanical Research Institute (NBRI),"[Verma, Sushma; Rana, T. S.; Ranade, S. A.] CSIR, Natl Bot Res Inst, Lucknow 226001, Uttar Pradesh, India","Rana, TS (corresponding author), CSIR, Natl Bot Res Inst, Lucknow 226001, Uttar Pradesh, India.","Department of Biotechnology and Department of Science and Technology, New Delhi",,,,,,,,,,
,,,A1692,5,1693,"Changes of woody species diversity, horizontal and vertical distribution of stems across interior to outside within a primate rich habitat of Northeast India","The interior forest of protected area (PA) recover quickly in terms of greater diversity and structural complexity than peripheral and outsides, which may be due to high plant-frugivore interactions in the interior forest than the disturbed outsides. To describe the structural and functional differences in tree communities from interior to outside forests with in small PA, we quantitatively analyzed the vegetation of Trishna Wildlife Sanctuary, a rich primate habitat of Northeast India. Vegetation was sampled at a parts per thousand yen10 cm girth at breast height by 10 m x 500 m sized 20 line transects (10 ha) laid in the interior (N = 7), peripheral (N = 7) and outside (N = 6) zones of this sanctuary. All transects were ordinated by Principal Component Analysis based on correlation between diversity and existing disturbance indices. We found significant differences (P < 0.05) in taxonomic richness and diversity indices between the habitat. Van diagram confirmed greater unique species richness in the interior zone (64) than peripheral (28) and outside (6) zones. Overall density (ha(-1)) did not differed across the zones, but basal area (m(2) ha(-1)) was significantly (P < 0.01) high in peripheral zone. Vertical distribution of stem density was linearly declined across zones ( > 0.70; P < 0.01) with increase in the canopy height. Horizontal distribution of adult stems showed significant inverse quadratic relationship ( > 0.80; P < 0.001), which suggests very low density of canopy forming voluminous trees in the interior zone. Immediate protection, restoration and management of interior regions are required to preserve local plant genetic diversity and also to maintain suitable habitat for threatened wildlife.",Y,Plot-based or transects,https://doi.org/10.1007/s11676-016-0231-4,2016,JOURNAL OF FORESTRY RESEARCH,"Majumdar, K; Choudhary, BK; Datta, BK",,,Canopy gaps; Gap characteristics; Central Western Ghats; Tropical evergreen forests; Species diversity; Regeneration,PHASE REGENERATION; RAIN-FOREST; TREEFALL GAPS; SIZE; VEGETATION; DISTURBANCE; DYNAMICS; LIGHT; RECRUITMENT; NORTH,University of Agricultural Sciences Bangalore; Indian Council of Forestry Research & Education (ICFRE); Institute of Wood Science & Technology (IWST),"[Devagiri, Guddappa Mahalingappa; Khaple, Anil Kumar; Mohan, Siddagangaiah] Univ Agr & Hort Sci, Dept Nat Resource Management, Coll Forestry, Kodagu 571216, Karnataka, India; [Venkateshamurthy, Puttanaik] Univ Agr Sci, Dept Hort, Coll Agr, Mandya 571410, Karnataka, India; [Tomar, Sanjay] NASC, ICRAF South Asia, Pusa Campus, New Delhi 110012, India; [Arunkumar, Arkalgud Nagaraja; Joshi, Geeta] Inst Wood Sci & Technol, Div Tree Improvement, Bangalore 560003, Karnataka, India","Devagiri, GM (corresponding author), Univ Agr & Hort Sci, Dept Nat Resource Management, Coll Forestry, Kodagu 571216, Karnataka, India.","National Remote Sensing Centre, Hyderabad, India under NRSC-DOS-DBT, Govt. of India project entitled Biodiversity Characterization in Southern parts of Karnataka [UAS(B)/DR/GOI/245/2011-12]",,,,,,,,,,
,,,A1722,6,1723,Estimation of tree biomass reserves in tropical deciduous forests of Central India by non-destructive approach,"The present study deals with the estimation of tree biomass by non destructive method in tropical dry deciduous forest (DDF) and tropical mixed deciduous forest (MDF) in 0.1 ha permanent plots, established at seven sites each in seven districts of state of Madhya Pradesh in central India. Tree volume was calculated using site specific volume equation. The biomass of each species was estimated taking tree volume and species specific gravity. The relationship between basal area and above ground biomass showed positive correlation for all sites and forest types. In general DDF holds higher density, basal area and biomass than MDF irrespective of sites. Significantly higher basal area (m(2) ha(-0.1)) was recorded in DDF (6.45 +/- 4.22) MDF (4.53 +/- 3.56). Average above ground biomass of both DDF and MDF of all sites were 31.8 t ha(-1) and 20.7 t ha(-1) respectively. Estimation of above ground tree biomass in the present study provides data for tropical deciduous forests covering a large part (24.66 %) of state for further use.",Y,Plot-based or transects,no DOI (manual),2016,TROPICAL ECOLOGY,"Salunkhe, O; Khare, PK; Sahu, TR; Singh, S",,,Banj oak; conservation; Himalaya; remote sensing; Uttarakhand,KUMAUN-HIMALAYA; AERIAL PHOTOGRAPHS; INDIA; VEGETATION; BIOMASS; PART,"Department of Space (DoS), Government of India; Indian Space Research Organisation (ISRO); Indian Institute of Remote Sensing (IIRS); Wildlife Institute of India","[Singh, Gajendra] Uttarakhand Space Applicat Ctr 131, Dept Forest Ecol & Climate Change, Phase 2, Dehra Dun 248006, Uttarakhand, India; [Padalia, Hitendra] Indian Inst Remote Sensing, Forestry & Ecol Dept, 4 Kalidas Rd, Dehra Dun 248001, Uttarakhand, India; [Rai, I. D.; Bharti, R. R.; Rawat, G. S.] Wildlife Inst India, Dept Habitat Ecol, Post Box 18, Dehra Dun 248001, Uttarakhand, India","Singh, G (corresponding author), Uttarakhand Space Applicat Ctr 131, Dept Forest Ecol & Climate Change, Phase 2, Dehra Dun 248006, Uttarakhand, India.","Uttarakhand State Council for Science and Technology (UCOST); Department of Science and Technology, New Delhi; Uttarakhand Forest Department",,,,,,,,,,
,,,A0490,7,491,A critical review of forest biomass estimation equations in India,"Plant biomass is an integral part of the global carbon cycle and a renewable energy source that can deaccelerate the rising global temperature. India has 71 million ha (M ha) of land under forests represented by tropical to alpine ecosystems. Numerous direct and indirect species-specific and mixed-species equations have been used for biomass estimation in India. Biomass estimation equations that facilitate the prediction of aboveground biomass (AGB) stocks non-destructively across India are still lacking. Therefore, the objective of this review is to (i) assess the existing species-specific biomass estimation equations for trees, bamboos, palms, and bananas in India, (ii) assess and identify the most appropriate multi-species biomass estimation equations for AGB estimation across India, and (iii) define the critical research gaps in biomass estimation in India. The literature search found 85 species-specific and six multi-species AGB estimation equations reported from India. It was also found that a 50% of these equations were based on the power-law function using diameter at breast height (D) as the predictor variable. We carried out a multi-fold validation to compare the multi-species equation's compatibility by comparing the root mean square error (RMSE). The estimated RMSE values of the six reported multi-species equations showed that the following two equations could be effectively used for estimation of AGB: (i) lnAGB= 0.349+1.316 lnGBH and (ii) AGB= (0.18D2.16) × 1.32. These are adequate for predicting biomass of any woody species across a range of conditions in India.",Y,Unsure,https://doi.org/10.1016/j.tfp.2021.100098,2021,TREES FORESTS AND PEOPLE,"Brahma, B; Nath, AJ; Deb, C; Sileshi, GW; Sahoo, UK; Das, AK",,,Rice grain; Arsenic concentration; Alternate wetting and drying; Vermicompost; Dietary risk assessment; Random forest,WEST-BENGAL; SOIL; MITIGATION; HEALTH; MANAGEMENT; SPECIATION; EXPOSURE; MATTER; QSAR,Bidhan Chandra Agricultural University; University of Salford,"[Sengupta, Sudip; Bhattacharyya, Kallol; Bhattacharya, Parijat; Halder, Sanjay; Pari, Arnab] Bidhan Chandra Krishi Viswavidyalaya, Dept Agr Chem & Soil Sci, Fac Agr, Nadia 741252, W Bengal, India; [Mandal, Jajati] Bihar Agr Univ, Dept Soil Sci & Agr Chem, Bhagalpur 813210, Bihar, India; [Mandal, Jajati] Univ Salford, Sch Sci Engn & Environm, Manchester M5 4WT, Lancs, England","Mandal, J (corresponding author), Bihar Agr Univ, Dept Soil Sci & Agr Chem, Bhagalpur 813210, Bihar, India.","ICAR - Indian Institute of Water Management, Bhubaneswar, Odisha, India",Green Submitted,,,,,,,,,
,,,A1032,8,1033,"Phytosociology of stratification in a lowland tropical rainforest occurring north of the Tropic of Cancer in Meghalaya, India","Stratification in lowland rainforests of Meghalaya, India, which represent the westernmost limit of the rainforests north of the Tropic of Cancer, was studied in horizontal and vertical planes to elucidate the patterns in stacking of species diversity and community attributes, and to draw comparisons with rainforests of 'Indo-Malaya' ecozone (biogeographical realm). All individuals >= 10 cm GBH (girth at breast height) were enumerated in six transects of 10 m width and up to 500 m length covering 2.45 ha area. The stratification of whole assemblage of species in vertical plane is referred to as 'storey structure' (=height class distribution), which explains structural complexity. In horizontal plane, it is typically referred to as 'stand structure' (=girth class distribution), which explains structural heterogeneity. The stratification of an individual species in vertical plane is referred to as 'loftiness' and in horizontal plane, it is frequently referred to as 'population structure'. The stand structure was characterized by a negative exponential relationship or a reverse J-shaped curve, which is typical of a well regenerating forest stand. The storey structure was characterized by the low stature of the rainforest (<30 m), subtle layering in the canopy with dearth of discrete multi-stories, narrower widths of the stories and a thick understory. The cluster analysis and 'candlestick charts' showed that the dominant species spatially segregated in canopy height to profile three strata, viz., an understory of juveniles and shrubs below 5 m, a middle-storey of intermediate trees between 5 and 15 m, and an overstory of large trees between 15 and 25 m. Emergent trees of a few species may reach up to 30 m. The individuals tended to scatter in increasingly wider range of height classes from a lower to the next higher girth class, creating a 'torchlight scatter' pattern, with a tendency to concentrate towards smaller height classes due to stochastic factors, which potentially influence vertical growth proportionate to diametric growth. In comparison to equatorial rainforests of Malaysia and seasonal rainforests of southwestern China, the rainforests of Meghalaya are short-statured at the geographic extremity of the occurrence of rainforest biome in Asia-Pacific region, owing to floristic composition, site quality factors, excessively higher quantities of rainfall and high differential of precipitation and potential evapotranspiration. Despite limited diversity of megaphanerophytes, these rainforests deserve concerted conservation efforts as they stack high diversity of meso-, micro- and nano-phanerophytes. Copyright (C) 2019 Kunming Institute of Botany, Chinese Academy of Sciences. Publishing services by Elsevier B.V. on behalf of KeAi Communications Co., Ltd.",Y,Plot-based or transects,https://doi.org/10.1016/j.pld.2019.08.001,2019,PLANT DIVERSITY,"Shankar, U",,,Agricultural science; Aquaculture; Environmental science; Ecology; Water quality; Benefit cost analysis; Condition index; Conventional feed; Daily growth rate; Formulated feed; Specific growth rate,FRESH-WATER PRAWN; DE-MAN 1879; FISH-MEAL; MORPHOMETRIC RELATIONSHIP; WEIGHT; LENGTH; REPLACEMENT; GROWTH; DIET,,"[Khemundu, Gopal Raj; Banerjee, Kakoli] Cent Univ Orissa, Dept Biodivers & Conservat Nat Resources, Landiguda 764021, Koraput, India","Banerjee, K (corresponding author), Cent Univ Orissa, Dept Biodivers & Conservat Nat Resources, Landiguda 764021, Koraput, India.","Rajiv Gandhi National Fellowship, New Delhi [F1-17.1/2014-15/RGNF-2014-15-SC-ORI-73313/SAIII/]",Green Published,,,,,,,,,
,,,A1341,9,1342,A systematic review on the aboveground biomass and carbon stocks of Indian forest ecosystems,"Background: Tropical forests play a crucial role as source and sink in global carbon cycle. Development and other anthropogenic activities have led to degradation of forest land, and ultimately, it results in loss of biodiversity and increases concentration of CO2 in atmospheres. Therefore, there is urgent need to estimate regional and national level carbon stock for making forest-based policies and strategies for mitigation of CO2. Patchy and sporadic information is available on biomass and carbon stock of Indian forests. The paper presents a systematic review and comprehensive account of studies conducted in different forest types in India. Result: There are six major forest types found in India consisting of 15 groups and other subgroups with peculiar characteristics. Methodologies used by researchers for biomass/carbon stock estimation are destructive, nondestructive, tree inventories data, species-specific biomass estimation, and remote sensing. Majority of estimates are based on nondestructive allometric equation approach. Studies showed positive correlation between tree species, diameter at breast height, and biomass/carbon stock. Small-and medium-sized growing trees, invasive species, mixed forest, Agroforestry, and Agrosilviculture also play an important role in atmospheric carbon assimilation. The results of diverse forest carbon stock studies are broadly categorized in North, Central, and Southern India. Present review will be helpful for developing conservation policies and decision to increase carbon stock and also REDD+ program for particular forest ecosystem. Conclusion: The systematic literature review was carried out to gather and summarize information from different studies conducted on forest ecosystems and quantification methods used for biomass estimation and carbon stock in different forests types and states of India. In general, great variability occurs in aboveground biomass and carbon stock on account of climatic and geographic differences. To obtain good and accurate estimations, following nondestructive approach, species-specific density-based equations are required from different habitats and also in relation to degradation status of forests. As such regional volume equations would increase error of estimations. The comprehensive account of data would be helpful to formulate strategies based on carbon sequestration in Indian forests for CO2 mitigation.",Y,Unsure,https://doi.org/10.1186/s13717-018-0130-z,2018,ECOLOGICAL PROCESSES,"Salunkhe, O; Khare, PK; Kumari, R; Khan, ML",,,Automation; chest X-rays; lung region symmetry; pulmonary abnormalities; screening; tuberculosis,RAPID MOLECULAR-DETECTION; PROBABILISTIC ATLAS; TUBERCULOSIS; SHAPE; RADIOGRAPHS; SEGMENTATION; NETWORKS; FEATURES; LIVER,University of South Dakota; National Institutes of Health (NIH) - USA; NIH National Library of Medicine (NLM),"[Santosh, K. C.] Univ South Dakota, Dept Comp Sci, Vermillion, SD 57069 USA; [Antani, Sameer] NIH, US Natl Lib Med, Bethesda, MD 20894 USA","Santosh, KC (corresponding author), Univ South Dakota, Dept Comp Sci, Vermillion, SD 57069 USA.","Intramural Research Program of LHNCBC, U.S. National Library of Medicine, National Institutes of Health; Department of Computer Science, University of South Dakota",,,,,,,,,,
,,,A3010,10,3011,Rain forest expansion mediated by successional processes in vegetation thickets in the Western Ghats of India,"Aim The objective of this study was to document succession from grassland thickets to rain forest, and to provide evidence for their potential as restoration tools. Location The Linganamakki region (State of Karnataka) of the Central Western Ghats of India. Method We selected thirty vegetation thickets ranging from 4 to 439 m(2) in area in the vicinity of rain forest. The area of each small thicket was estimated as an oval using its maximum length and its maximum width. When the shape was irregular (mostly in large thickets) the limits of the thicket were mapped and the area calculated from the map. Plant species were identified, the number of individuals was estimated and their heights measured. Results There was a progression in the thickets from early to late successional species. Small thickets were characterized by ecotone species and savanna trees such as Catunaregam dumetorum . Savanna trees served as a nucleus for thicket formation. Colonizing species were mostly bird-dispersed. As succession proceeded in larger thickets, the proportion of evergreen, late-successional rain forest trees increased. The species composition of the large thickets differed depending on the species composition of reproductive adults in the nearby forested areas. The species within small thickets were also found in the large thickets. The nestedness in species composition suggested that species turnover was deterministic based on thicket size. Human disturbance (leaf and wood collection by the local populations) affected the species composition and the species-area relationship of thickets. Main conclusions Vegetation thickets are nodal centres for rain forest colonization within grasslands. They expand and replace savanna. Early successional bird-dispersed species established around savanna trees followed by late-successional rain forest trees dispersed from the nearby forest by birds. Restoration programmes that reproduce natural successional processes such as those observed in thickets will be more successful and less expensive than the methods currently being employed, where trees are individually planted in grassland. Wood harvesting is the only factor that prevents thicket growth and coalescence and hampers forest expansion.",y,Plot-based or transects,https://doi.org/10.1046/j.1365-2699.2003.00882.x,2003,JOURNAL OF BIOGEOGRAPHY,"Puyravaud, JP; Dufour, C; Aravajy, S",,,,DNA EXTRACTION; MARKERS; ACCESSIONS; RESOURCES; BARLEY; PEACH,University of Agricultural Sciences Bangalore; University of Agricultural Sciences Bangalore; Indian Institute of Science (IISC) - Bangalore,"Univ Agr Sci Bangalore, GKVK, Div Hort, Plant Mol Biol Lab, Bangalore 560065, Karnataka, India; Univ Agr Sci Bangalore, GKVK, Dept Biotechnol, Bangalore 560065, Karnataka, India; Indian Inst Sci, Dept Microbiol & Cell Biol, Bangalore 560012, Karnataka, India","Shashidhara, G (corresponding author), Univ Agr Sci Bangalore, GKVK, Div Hort, Plant Mol Biol Lab, Bangalore 560065, Karnataka, India.",,,,,,,,,,,
