,,,,,,To check,To check,To check,To check,To check,To check,To check,To check,To check,,To check,,To check,To check,To check,To check,To check,To fill,To fill,To fill,To fill,To fill,To fill,To fill,To fill,
Sorted_by(round 2),Sorted_by(round 1),randomize,paperID,Row number in level-1,Row number in WoS,Article Title,Abstract,Relevant? (Y/N),Remarks,DOI,Pub_Year,Source Title,Authors,Citation,Notes,Author Keywords,Keywords plus,Affiliations,Addresses,Reprint address,Funding Orgs,Open Access_WoS,latitude_site_decimal,longitude_site_decimal,plot_shape,diameter_for_circular_in_m,dim1_for_rect_in_m,dim2_for_rect_in_m,Open_access,Data_access,Notes
,,,A0872,2,873,"Estimation of carbon pools in secondary tropical deciduous forests of Odisha, India",NA,Y,Plot-based or transects,https://doi.org/10.1007/s11676-020-01119-5,2021,JOURNAL OF FORESTRY RESEARCH,"Pattnayak, S; Kumar, M; Dhal, NK; Sahu, SC",,,Gossan; regolith mapping; hydrothermal alteration; geochemistry; XRF; ICPMS; western Jahajpur belt,EXPLORATION; ELEMENTS,National Institute of Technology (NIT System); National Institute of Technology Raipur,"[Tripathi, Mahesh Kumar; Govil, H.] Natl Inst Technol, Dept Appl Geol, Raipur, CG, India","Tripathi, MK (corresponding author), Natl Inst Technol, Dept Appl Geol, Raipur, CG, India.","Space Application Centre, Indian Space Research organization India [EPSA/4.2/2017]",,,,,,,,,,
,,,A1022,3,1023,Edge effects reduce alpha-diversity but not beta-diversity during community assembly in a human-modified tropical forest,"Edge effects can alter the spatial organization of diversity in fragmented habitats. For tropical forests, however, there has been large variation in the strength and direction of such effects reported by different studies. For long-lived organisms like trees, one reason for inconsistent patterns might be due to most studies having examined patterns of diversity and compositional variation in older life stages that bear the legacy of a forest past. Younger life stages can reveal ongoing processes of assembly, but multi-stage examinations are rare. For seedling, sapling, and adult life stages of trees in a human-modified wet tropical forest in the Western Ghats Biodiversity Hotspot (India), we examined how proximity to forest edges (edge influence) modified the spatial organization of diversity. Specifically, for each life stage we tested whether edge influence led to loss of alpha- and gamma-diversity and decreased beta-diversity in this landscape. We found lower alpha- and gamma-diversity closer to forest edges, but only for seedlings. Seedling composition at 90-100 m from forest edges diverged from composition of sites within 60 m, suggesting that edge influence restricted the recruitment of some species to interior sites. In contrast, beta-diversity was greater near edges than interior forest for all life stages and most prominently for seedlings. Furthermore, beta-diversity at edges was primarily driven by species turnover, suggesting either marked species-environment associations or dispersal limitation. Low turnover at 90-100 m implies that beta-diversity arose from stochastic fluctuations in occurrences and abundances of the same species set. Overall, we find that high beta-diversity structured spatial patterns of diversity near edges, but recruitment bottlenecks are likely to reduce alpha diversity of forest fragments. Our results also corroborate the need to maintain sufficiently large areas of tropical forest free from edge effects to avoid the loss of interior forest species. To improve landscape-scale diversity of fragmented landscapes, restoration efforts should focus on recovery of species that are unable to regenerate near forest edges.",Y,,https://doi.org/10.1002/eap.1996,2019,ECOLOGICAL APPLICATIONS,"Krishnadas, M; Kumar, AN; Comita, LS",,Similar dataset as Osuri et al. 2016,Drainage network; water yield; sediment yield; LU; LC; calibration; watersheds,LAND-USE; WATERSHED SUBDIVISION; GIS; COVER; PRIORITIZATION; IDENTIFICATION; SUBWATERSHEDS; RUNOFF; CALIBRATION; SIMULATION,Jawaharlal Nehru Technological University - Kakinada; Infosys Limited,"[Parupalli, Sridhar] BVRM, SVECW, Civil Engn Dept, Bhimvaram, India; [Kumari, K. Padma] IST, JNTUK, SIT, Kakinada, India; [Ganapuram, Sreedhar] Infosys Ltd, Hyderabad, India","Ganapuram, S (corresponding author), Infosys Ltd, Hyderabad, India.",,,,,,,,,,,
,,,A2665,4,2666,"Patterns of plant species diversity across Terai landscape in north-eastern Uttar Pradesh, India","The north-eastern Uttar Pradesh forms a part of Terai landscape in north India which is drained by two important tributaries of river Ganga viz., Rapti and Gandak. This landscape comprises a mosaic of cultivation, human habitation and natural vegetation that has been heavily used by people. The natural vegetation is broadly divisible into four categories viz., grasslands, secondary scrub, old-fields and forests. Of these, the grasslands were the most species-rich followed by forests, secondary scrub and old-fields. A total of 615 species of angiosperms were recorded within an area of similar to 10,000 km(2) which represent 389 genera and 94 families. Sampling of forested landscape revealed a sizable number of rare species within frequency range of 0.001- 0.1%. These species showed very low seedling abundance and poor regeneration. The overall, landscape level diversity (gamma-diversity) of the forested landscape was 4.035, to which shrubs contributed the most. The scrub vegetation was dominated by woody climbers which frequently formed thickets. Diversity of woody perennials was very low in the plantations. The composition and diversity of various grassland communities have been compared with respect to topography and canopy openings reflecting different light regimes. Suitable measures are suggested for the regeneration and conservation of existing pool of wild flora and those of seral communities across the landscape.",Y,Plot-based or transects,no DOI (manual),2009,TROPICAL ECOLOGY,"Shukla, RP",,,Clustering; genetic variation; Murraya paniculata,VNTR CORE SEQUENCES; RAPD; DIVERSITY; DNA; POLYMORPHISMS; CULTIVARS; DISTANCE; MARKERS; RFLP; PCR,Council of Scientific & Industrial Research (CSIR) - India; CSIR - National Botanical Research Institute (NBRI),"[Verma, Sushma; Rana, T. S.; Ranade, S. A.] CSIR, Natl Bot Res Inst, Lucknow 226001, Uttar Pradesh, India","Rana, TS (corresponding author), CSIR, Natl Bot Res Inst, Lucknow 226001, Uttar Pradesh, India.","Department of Biotechnology and Department of Science and Technology, New Delhi",,,,,,,,,,
,,,A1692,5,1693,"Changes of woody species diversity, horizontal and vertical distribution of stems across interior to outside within a primate rich habitat of Northeast India","The interior forest of protected area (PA) recover quickly in terms of greater diversity and structural complexity than peripheral and outsides, which may be due to high plant-frugivore interactions in the interior forest than the disturbed outsides. To describe the structural and functional differences in tree communities from interior to outside forests with in small PA, we quantitatively analyzed the vegetation of Trishna Wildlife Sanctuary, a rich primate habitat of Northeast India. Vegetation was sampled at a parts per thousand yen10 cm girth at breast height by 10 m x 500 m sized 20 line transects (10 ha) laid in the interior (N = 7), peripheral (N = 7) and outside (N = 6) zones of this sanctuary. All transects were ordinated by Principal Component Analysis based on correlation between diversity and existing disturbance indices. We found significant differences (P < 0.05) in taxonomic richness and diversity indices between the habitat. Van diagram confirmed greater unique species richness in the interior zone (64) than peripheral (28) and outside (6) zones. Overall density (ha(-1)) did not differed across the zones, but basal area (m(2) ha(-1)) was significantly (P < 0.01) high in peripheral zone. Vertical distribution of stem density was linearly declined across zones ( > 0.70; P < 0.01) with increase in the canopy height. Horizontal distribution of adult stems showed significant inverse quadratic relationship ( > 0.80; P < 0.001), which suggests very low density of canopy forming voluminous trees in the interior zone. Immediate protection, restoration and management of interior regions are required to preserve local plant genetic diversity and also to maintain suitable habitat for threatened wildlife.",Y,Plot-based or transects,https://doi.org/10.1007/s11676-016-0231-4,2016,JOURNAL OF FORESTRY RESEARCH,"Majumdar, K; Choudhary, BK; Datta, BK",,,Canopy gaps; Gap characteristics; Central Western Ghats; Tropical evergreen forests; Species diversity; Regeneration,PHASE REGENERATION; RAIN-FOREST; TREEFALL GAPS; SIZE; VEGETATION; DISTURBANCE; DYNAMICS; LIGHT; RECRUITMENT; NORTH,University of Agricultural Sciences Bangalore; Indian Council of Forestry Research & Education (ICFRE); Institute of Wood Science & Technology (IWST),"[Devagiri, Guddappa Mahalingappa; Khaple, Anil Kumar; Mohan, Siddagangaiah] Univ Agr & Hort Sci, Dept Nat Resource Management, Coll Forestry, Kodagu 571216, Karnataka, India; [Venkateshamurthy, Puttanaik] Univ Agr Sci, Dept Hort, Coll Agr, Mandya 571410, Karnataka, India; [Tomar, Sanjay] NASC, ICRAF South Asia, Pusa Campus, New Delhi 110012, India; [Arunkumar, Arkalgud Nagaraja; Joshi, Geeta] Inst Wood Sci & Technol, Div Tree Improvement, Bangalore 560003, Karnataka, India","Devagiri, GM (corresponding author), Univ Agr & Hort Sci, Dept Nat Resource Management, Coll Forestry, Kodagu 571216, Karnataka, India.","National Remote Sensing Centre, Hyderabad, India under NRSC-DOS-DBT, Govt. of India project entitled Biodiversity Characterization in Southern parts of Karnataka [UAS(B)/DR/GOI/245/2011-12]",,,,,,,,,,
,,,A1722,6,1723,Estimation of tree biomass reserves in tropical deciduous forests of Central India by non-destructive approach,"The present study deals with the estimation of tree biomass by non destructive method in tropical dry deciduous forest (DDF) and tropical mixed deciduous forest (MDF) in 0.1 ha permanent plots, established at seven sites each in seven districts of state of Madhya Pradesh in central India. Tree volume was calculated using site specific volume equation. The biomass of each species was estimated taking tree volume and species specific gravity. The relationship between basal area and above ground biomass showed positive correlation for all sites and forest types. In general DDF holds higher density, basal area and biomass than MDF irrespective of sites. Significantly higher basal area (m(2) ha(-0.1)) was recorded in DDF (6.45 +/- 4.22) MDF (4.53 +/- 3.56). Average above ground biomass of both DDF and MDF of all sites were 31.8 t ha(-1) and 20.7 t ha(-1) respectively. Estimation of above ground tree biomass in the present study provides data for tropical deciduous forests covering a large part (24.66 %) of state for further use.",Y,Plot-based or transects,no DOI (manual),2016,TROPICAL ECOLOGY,"Salunkhe, O; Khare, PK; Sahu, TR; Singh, S",,,Banj oak; conservation; Himalaya; remote sensing; Uttarakhand,KUMAUN-HIMALAYA; AERIAL PHOTOGRAPHS; INDIA; VEGETATION; BIOMASS; PART,"Department of Space (DoS), Government of India; Indian Space Research Organisation (ISRO); Indian Institute of Remote Sensing (IIRS); Wildlife Institute of India","[Singh, Gajendra] Uttarakhand Space Applicat Ctr 131, Dept Forest Ecol & Climate Change, Phase 2, Dehra Dun 248006, Uttarakhand, India; [Padalia, Hitendra] Indian Inst Remote Sensing, Forestry & Ecol Dept, 4 Kalidas Rd, Dehra Dun 248001, Uttarakhand, India; [Rai, I. D.; Bharti, R. R.; Rawat, G. S.] Wildlife Inst India, Dept Habitat Ecol, Post Box 18, Dehra Dun 248001, Uttarakhand, India","Singh, G (corresponding author), Uttarakhand Space Applicat Ctr 131, Dept Forest Ecol & Climate Change, Phase 2, Dehra Dun 248006, Uttarakhand, India.","Uttarakhand State Council for Science and Technology (UCOST); Department of Science and Technology, New Delhi; Uttarakhand Forest Department",,,,,,,,,,
,,,A1524,7,1525,Forest protection in Central India: do differences in monitoring by state and local institutions result in diverse social and ecological impacts?,"Protection of forests and wildlife outside protected areas (PAs) is necessary for the conservation of wildlife. Extension of conservation efforts outside the existing PA may result in restrictions on local forest resource use. Such situations arise due to differences in understanding of forest as a resource for communities and as a conservation space for endangered species. A clearer focus is needed on the functionality and socio-ecological outcomes of different forest management institutions to address such issues. We conducted a study in a forest landscape connecting Pench and Tadoba-Andhari Tiger Reserves (TRs) in Central India. The two main forest management institutions were the Forest Department (FD) and local communities managing forest resources. We conducted vegetation surveys and focus group discussions in 15 villages selected based on presence or absence of active protection and monitoring of forest resources by either FD or local people. We found that forests with monitoring had significantly higher tree density and vegetation species richness compared to forests without monitoring. Tree density was observed to be higher in sites monitored by villagers rather than those monitored by FD. Self-regulation and resource sharing in locally monitored forests were more acceptable to local communities. In forests monitored by the FD, local communities indicated a feeling of alienation from the forest that weakened their motivation to protect the forest and wildlife. Recognition of local community rights is essential to achieve conservation goals and reduce social conflicts outside PAs, requiring collaboration between state and local institutions.",Y,Plot-based or transects,https://doi.org/10.1007/s10531-017-1344-6,2017,BIODIVERSITY AND CONSERVATION,"Agarwal, S; Marathe, A; Ghate, R; Krishnaswamy, J; Nagendra, H",,,Climbing guilds; Dispersal mode; Liana abundance; Natural patches; Shade tolerance; Species-area relationships,TROPICAL RAIN-FOREST; EVERGREEN FORESTS; WESTERN-GHATS; VEGETATION STRUCTURE; ANTHROPOGENIC EDGES; NILGIRI MOUNTAINS; SEEDLING SURVIVAL; DIVERSITY; TREE; FRAGMENTATION,Chinese Academy of Sciences; James Cook University; James Cook University; Chinese Academy of Sciences; Guangxi University; Pondicherry University; Bharathiar University,"[Mohandass, Dharmalingam; Mammides, Christos] Chinese Acad Sci, XTBG, Key Lab Trop Forest Ecol, Menglun Town 666303, Yunnan, Peoples R China; [Campbell, Mason J.] James Cook Univ, Ctr Trop Environm & Sustainabil Sci TESS, Cairns, Qld 4878, Australia; [Campbell, Mason J.] James Cook Univ, Coll Sci & Engn, Cairns, Qld 4878, Australia; [Hughes, Alice C.] Chinese Acad Sci, XTBG, Ctr Integrat Conservat, Menglun Town 666303, Yunnan, Peoples R China; [Mammides, Christos] Guangxi Univ, Coll Forestry, Guangxi Key Lab Forest Ecol & Conservat, Daxuedonglu 100, Nanning 530004, Peoples R China; [Davidar, Priya] Pondicherry Univ, Dept Ecol & Environm Sci, Kalapet 605014, Puducherry, India; [Mohandass, Dharmalingam] Bharathiar Univ, Dept Bot, Root & Soil Biol Lab, Coimbatore 641046, Tamil Nadu, India","Mohandass, D (corresponding author), Chinese Acad Sci, XTBG, Key Lab Trop Forest Ecol, Menglun Town 666303, Yunnan, Peoples R China.",ECOS; National Natural Science Foundation of China [31200173]; Center for Tropical Forest Science and assistance,,,,,,,,,,
,,,A0784,8,785,"Ecosystem-level carbon storage and its links to diversity, structural and environmental drivers in tropical forests of Western Ghats, India","Abstract Tropical forests are rich in biodiversity with great potential for carbon (C) storage. We estimated ecosystem-level C stock using data from 70 forest plots in three major forest types: tropical dry deciduous (TDD I and TDD II), tropical semi-evergreen (TSE I and TSE II) and tropical evergreen forests (TEF I, TEF II and TEF III) of Kanyakumari Wildlife Sanctuary, Western Ghats, India. The average C stock in these forests was 336.8Â MgÂ C/ha, of which 231.3, 3.0, 2.4, 15.2 and 84.9Â MgÂ C/ha were stored in woody vegetation, understorey, litter, deadwood and soil respectively. The live vegetation, detritus and soil contributed 65.5%, 5.5% and 29% respectively to the total ecosystem-level C stock and distributed in forest types in the order: TEF IIIâ€‰>â€‰TEF IIâ€‰>â€‰TEF Iâ€‰>â€‰TSE Iâ€‰>â€‰TDD IIâ€‰>â€‰TSE IIâ€‰>â€‰TDD I. The plant diversity, structural attributes and environmental factors showed significant positive correlations with C stocks and accounted for 6.7, 77.2 and 16% of variance. These findings indicate that the tropical forests in the Western Ghats store large amount of C, and resulting data are invaluable for planning and monitoring forest conservation and management programs to enhance C storage in tropical forests.",Y,Plot-based or transects,https://doi.org/10.1038/s41598-020-70313-6,2020,SCIENTIFIC REPORTS,"Kothandaraman, S; Dar, JA; Sundarapandian, S; Dayanandan, S; Khan, ML",,,Emission reduction; Renewable energy; Sustainable development; Developing country,CLIMATE-CHANGE; ENERGY EFFICIENCY; CARBON EMISSIONS; ECONOMIC-GROWTH; PAKISTAN; ELECTRICITY; FOOTPRINT; RENEWABILITY; PERSPECTIVES; CHALLENGES,Shanghai Jiao Tong University; Lancaster University; Shanghai Jiao Tong University; Shanghai Jiao Tong University,"[Ali, Mustafa] Shanghai Jiao Tong Univ, Sch Environm Sci & Engn, Shanghai 200240, Peoples R China; [Ali, Mustafa; Liu, Lingxuan] Univ Lancaster, Pentland Ctr, Lancaster LA1 1YW, England; [Khokhar, Shahid] Univ Educ, Lahore, Pakistan; [Geng, Yong] Shanghai Jiao Tong Univ, Sch Int & Publ Affairs, Shanghai 200030, Peoples R China; [Geng, Yong] Shanghai Jiao Tong Univ, China Inst Urban Governance, 800 Dongchuan Rd, Shanghai 200240, Peoples R China; [Geng, Yong] Shanghai Inst Pollut Control & Ecol Secur, Shanghai 200092, Peoples R China","Ali, M (corresponding author), Shanghai Jiao Tong Univ, Sch Environm Sci & Engn, Shanghai 200240, Peoples R China.;Geng, Y (corresponding author), Shanghai Jiao Tong Univ, Sch Int & Publ Affairs, Shanghai 200030, Peoples R China.","Natural Science Foundation of China [71850410539, 71810107001, 71690241]; Ministry of Science and Technology, China [2019YFC1908500]",,,,,,,,,,
,,,A3105,9,3106,"Attenuated tree species diversity in human-impacted tropical evergreen forest sites at Kolli hills, Eastern Ghats, India","Tree diversity (greater than or equal to 30 cm gbh) in undisturbed and human-impacted tropical evergreen forest sites was investigated in the Kolli hills, Eastern Ghats, India. Four 2-ha contiguous permanent plots were erected, one each in Perumakkai shola (site PS), Vengodai shola (VS), Kuzhivalavu shola (KS) and Mottukkadu shola (MS) at 1000, 1050, 1200 and 1250 m elevation, with increasing human disturbance, to evaluate the difference in tree species composition, stand structure and dynamics. This paper discusses the results of the first survey. A total of 3825 individuals and 78 species from 61 genera and 36 families were enumerated in the 8 ha area. Among the four 2-ha sites, species richness was greatest (58) in the undisturbed site PS and lowest (39) in the highly disturbed site MS. Shannon, Simpson, Hill diversity and evenness indexes revealed a progressive reduction in diversity with increasing disturbance. The asymptote species-area curves imply adequate site sampling. Tree density (1151 to 651 trees ha(-2)) and basal area (106 to 46.6 m(2) ha(-2)) decreased from undisturbed to disturbed site, due to selective felling. Single species, Memecylon umbellatum dominated sites MS (39%) and VS (26%), while Nothopegia heyneana, Memecylon umbellatum and Diospyros ovalifolia were dominant in PS, and Meliosma simplicifolia, Myristica dactyloides and Phoebe wightii in KS. Based on species abundance, we classify the study area as Memecylon-Phoebe-Beilschmiedia association with Neolitsea and Myristica as codominants. Tree population structure revealed a step-wise decline in girth frequencies with increasing size class in undisturbed site PS, whereas tree density fell sharp (> 50%) in medium girth class in the disturbed site MS. Population of the dominant species varied widely. The diversity values of this inventory are compared with similar studies in India and other tropical forests. Evidently, the reduction in species richness (by 52%), basal area (56%) and tree density (58%) in disturbed sites, with 57.6% of species rarity of this tropical evergreen forest, in secluded patches ('sholas') of Kolli hills, underlines conservation need to prevent species loss.",Y,Plot-based or transects,https://doi.org/10.1023/A:1008971015545,2000,BIODIVERSITY AND CONSERVATION,"Chittibabu, CV; Parthasarathy, N",,,,,Osmania University,"SGS India Ltd, Terr Environm Serv, Secunderabad 500003, AP, India; Mapping Earth Resources & Informat Technol, Hyderabad 500047, Andhra Pradesh, India; Osmania Univ, OU Coll Sci, Dept Zool, Hyderabad 500007, Andhra Pradesh, India",,,,,,,,,,,,
,,,A0490,10,491,A critical review of forest biomass estimation equations in India,"Plant biomass is an integral part of the global carbon cycle and a renewable energy source that can deaccelerate the rising global temperature. India has 71 million ha (M ha) of land under forests represented by tropical to alpine ecosystems. Numerous direct and indirect species-specific and mixed-species equations have been used for biomass estimation in India. Biomass estimation equations that facilitate the prediction of aboveground biomass (AGB) stocks non-destructively across India are still lacking. Therefore, the objective of this review is to (i) assess the existing species-specific biomass estimation equations for trees, bamboos, palms, and bananas in India, (ii) assess and identify the most appropriate multi-species biomass estimation equations for AGB estimation across India, and (iii) define the critical research gaps in biomass estimation in India. The literature search found 85 species-specific and six multi-species AGB estimation equations reported from India. It was also found that a 50% of these equations were based on the power-law function using diameter at breast height (D) as the predictor variable. We carried out a multi-fold validation to compare the multi-species equation's compatibility by comparing the root mean square error (RMSE). The estimated RMSE values of the six reported multi-species equations showed that the following two equations could be effectively used for estimation of AGB: (i) lnAGB= 0.349+1.316 lnGBH and (ii) AGB= (0.18D2.16) × 1.32. These are adequate for predicting biomass of any woody species across a range of conditions in India.",Y,Unsure,https://doi.org/10.1016/j.tfp.2021.100098,2021,TREES FORESTS AND PEOPLE,"Brahma, B; Nath, AJ; Deb, C; Sileshi, GW; Sahoo, UK; Das, AK",,,Rice grain; Arsenic concentration; Alternate wetting and drying; Vermicompost; Dietary risk assessment; Random forest,WEST-BENGAL; SOIL; MITIGATION; HEALTH; MANAGEMENT; SPECIATION; EXPOSURE; MATTER; QSAR,Bidhan Chandra Agricultural University; University of Salford,"[Sengupta, Sudip; Bhattacharyya, Kallol; Bhattacharya, Parijat; Halder, Sanjay; Pari, Arnab] Bidhan Chandra Krishi Viswavidyalaya, Dept Agr Chem & Soil Sci, Fac Agr, Nadia 741252, W Bengal, India; [Mandal, Jajati] Bihar Agr Univ, Dept Soil Sci & Agr Chem, Bhagalpur 813210, Bihar, India; [Mandal, Jajati] Univ Salford, Sch Sci Engn & Environm, Manchester M5 4WT, Lancs, England","Mandal, J (corresponding author), Bihar Agr Univ, Dept Soil Sci & Agr Chem, Bhagalpur 813210, Bihar, India.","ICAR - Indian Institute of Water Management, Bhubaneswar, Odisha, India",Green Submitted,,,,,,,,,
