address,Latitude,Longitude,count,paperID
"Natl Inst Technol, Dept Appl Geol, Raipur, CG, India",21.2513844,81.6296413,2,A0872
"BVRM, SVECW, Civil Engn Dept, Bhimvaram, India",16.5445173,81.5369989,1,A1692
"IST, JNTUK, SIT, Kakinada, India",16.9782157,82.242755,1,A1692
"Infosys Ltd, Hyderabad, India",17.385044,78.486671,1,A1692
"CSIR, Natl Bot Res Inst, Lucknow 226001, Uttar Pradesh, India",26.8594354,80.9308304,3,A2665
"Univ Agr & Hort Sci, Dept Nat Resource Management, Coll Forestry, Kodagu 571216, Karnataka, India",12.1027291,76.01598,3,A1722
"Univ Agr Sci, Dept Hort, Coll Agr, Mandya 571410, Karnataka, India",12.5218157,76.8951488,1,A1722
"NASC, ICRAF South Asia, Pusa Campus, New Delhi 110012, India",28.6257734,77.1615725,1,A1722
"Inst Wood Sci & Technol, Div Tree Improvement, Bangalore 560003, Karnataka, India",13.0112668,77.5704048,2,A1722
"Uttarakhand Space Applicat Ctr 131, Dept Forest Ecol & Climate Change, Phase 2, Dehra Dun 248006, Uttarakhand, India",30.3459244,78.0439734,1,A1692
"Indian Inst Remote Sensing, Forestry & Ecol Dept, 4 Kalidas Rd, Dehra Dun 248001, Uttarakhand, India",30.3407597,78.0440265,1,A1692
"Wildlife Inst India, Dept Habitat Ecol, Post Box 18, Dehra Dun 248001, Uttarakhand, India",30.3426764,78.0051613,3,A1692
"Bidhan Chandra Krishi Viswavidyalaya, Dept Agr Chem & Soil Sci, Fac Agr, Nadia 741252, W Bengal, India",22.9452453,88.5335715,5,A1692
"Bihar Agr Univ, Dept Soil Sci & Agr Chem, Bhagalpur 813210, Bihar, India",25.2313819,87.0824045,1,A1692
"Univ Salford, Sch Sci Engn & Environm, Manchester M5 4WT, Lancs, England",53.4872326,-2.2737375,1,A1692
"Cent Univ Orissa, Dept Biodivers & Conservat Nat Resources, Landiguda 764021, Koraput, India",18.7769895,82.742228,2,A1032
"Univ South Dakota, Dept Comp Sci, Vermillion, SD 57069 USA",42.7883015,-96.9253381,1,A2665
