cor.locs,Latitude,Longitude,cor.locs2
"Chinese Acad Sci, XTBG, Key Lab Trop Forest Ecol, Menglun Town 666303, Yunnan, Peoples R China.",21.935158,101.248868,"Chinese Acad Sci, XTBG, Key Lab Trop Forest Ecol, Menglun Town 666303, Yunnan, Peoples R China"
"Shanghai Jiao Tong Univ, Sch Int & Publ Affairs, Shanghai 200030, Peoples R China.",31.197783,121.436073,"Shanghai Jiao Tong Univ, Sch Int & Publ Affairs, Shanghai 200030, Peoples R China"
NA,,,NA
"Mizoram Univ, Dept Forestry, Aizawl 796004, India.",23.7364942,92.6642456,"Mizoram Univ, Dept Forestry, Aizawl 796004, India"
NA,,,NA
"Tokyo Univ Marine Sci & Technol, Grad Sch Marine Sci & Technol, Minato Ku, Tokyo 1088477, Japan.",35.6268836,139.7486366,"Tokyo Univ Marine Sci & Technol, Grad Sch Marine Sci & Technol, Minato Ku, Tokyo 1088477, Japan"
"WWF INDIA,IGCMC,172-B,LODI ESTATE,NEW DELHI 110003,INDIA.",28.590965,77.223072,"WWF INDIA,IGCMC,172-B,LODI ESTATE,NEW DELHI 110003,INDIA"
NA,,,NA
"Kerala Agr Univ, Coll Forestry, Dept Silviculture & Agroforestry, KAU PO, Trichur 680656, Kerala, India.",10.5448532,76.2863548,"Kerala Agr Univ, Coll Forestry, Dept Silviculture & Agroforestry, KAU PO, Trichur 680656, Kerala, India"
"Dalhousie Univ, Dept Phys & Atmospher Sci, Halifax, NS, Canada.",44.6365812,-63.5916555,"Dalhousie Univ, Dept Phys & Atmospher Sci, Halifax, NS, Canada"
"Guru Nanak Dev Univ, Guru Ramdas Sch Planning, Amritsar 143005, Punjab, India.",31.637656,74.8258562,"Guru Nanak Dev Univ, Guru Ramdas Sch Planning, Amritsar 143005, Punjab, India"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"IIT Kharagpur, CORAL, Kharagpur, India.",22.3149274,87.3105311,"IIT Kharagpur, CORAL, Kharagpur, India"
"PURDUE UNIV, DEPT FORESTRY & NAT RESOURCES, 1159 FORESTRY BLDG, W LAFAYETTE, IN 47907 USA.",40.4228054,-86.9140972,"PURDUE UNIV, DEPT FORESTRY & NAT RESOURCES, 1159 FORESTRY BLDG, W LAFAYETTE, IN 47907 USA"
"Birbal Sahni Inst Paleobot, Quaternary Palynol Dept, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India.",26.8671761,80.9392066,"Birbal Sahni Inst Paleobot, Quaternary Palynol Dept, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India"
"Natl Res Ctr Agroforestry, Near Pahuj Dam,Gwalior Rd, Jhansi 284003, Uttar Pradesh, India.",25.5101353,78.5410563,"Natl Res Ctr Agroforestry, Near Pahuj Dam,Gwalior Rd, Jhansi 284003, Uttar Pradesh, India"
"Univ Kerala, Accredited Ctr Res, Jawaharlal Nehru Trop Bot Garden & Res Inst JNTBG, Biotechnol & Bioinformat Div, Thiruvananthapuram 695562, Kerala, India.",8.550953,76.9108019,"Univ Kerala, Accredited Ctr Res, Jawaharlal Nehru Trop Bot Garden & Res Inst JNTBG, Biotechnol & Bioinformat Div, Thiruvananthapuram 695562, Kerala, India"
"CSIR Natl Bot Res Inst NBRI, Bot Garden Div, Rana Pratap Marg, Lucknow 226001, Uttar Pradesh, India.",26.8562908,80.9498597,"CSIR Natl Bot Res Inst NBRI, Bot Garden Div, Rana Pratap Marg, Lucknow 226001, Uttar Pradesh, India"
NA,,,NA
"Indian Inst Technol, Indian Sch Mines, Dept Appl Geol, Coal Geol & Organ Petrol Lab, Dhanbad 826004, Jharkhand, India.",23.8144432,86.4412022,"Indian Inst Technol, Indian Sch Mines, Dept Appl Geol, Coal Geol & Organ Petrol Lab, Dhanbad 826004, Jharkhand, India"
"Sheikh ul Aalam Mem SAM Govt Degree Coll, Dept Bot, Budgam Kashmir 191111, J&K, India.",34.027349,74.7173058,"Sheikh ul Aalam Mem SAM Govt Degree Coll, Dept Bot, Budgam Kashmir 191111, J&K, India"
"DDU Gorakhpur Univ, Dept Bot, Plant Ecol Lab, Gorakhpur 273009, Uttar Pradesh, India.",26.7498118,83.3775148,"DDU Gorakhpur Univ, Dept Bot, Plant Ecol Lab, Gorakhpur 273009, Uttar Pradesh, India"
"NIMR, Sector 8, New Delhi 110077, India.",28.5774264,77.0761819,"NIMR, Sector 8, New Delhi 110077, India"
NA,,,NA
"Univ Fed Parana, Dept Bot, Caixa Postal 19031, BR-81531980 Curitiba, PR, Brazil.",-25.4372382,-49.2699727,"Univ Fed Parana, Dept Bot, Caixa Postal 19031, BR-81531980 Curitiba, PR, Brazil"
"Natl Bur Plant Genet Resources, Pusa Campus, New Delhi 110012, India.",28.6331469,77.1524959,"Natl Bur Plant Genet Resources, Pusa Campus, New Delhi 110012, India"
"Cent Food Technol Res Inst, Fermentat Technol & Bio Engn Dept, Mysore 500020, Karnataka, India.",12.2958104,76.6393805,"Cent Food Technol Res Inst, Fermentat Technol & Bio Engn Dept, Mysore 500020, Karnataka, India"
NA,,,NA
NA,,,NA
NA,,,NA
"Manonmaniam Sundaranar Univ, Sri Paramakalyani Ctr Environm Sci, Environm Nanotechnol Div, Alwarkurichi 627412, Tamil Nadu, India.",8.7833896,77.3897471,"Manonmaniam Sundaranar Univ, Sri Paramakalyani Ctr Environm Sci, Environm Nanotechnol Div, Alwarkurichi 627412, Tamil Nadu, India"
"Natl Tiger Conservat Author, New Delhi 110011, India.",28.604077,77.2116108,"Natl Tiger Conservat Author, New Delhi 110011, India"
NA,,,NA
"Univ Sao Paulo, Lorena Sch Engn EEL, BR-05508050 Lorena, SP, Brazil.",-23.5609494,-46.7213146,"Univ Sao Paulo, Lorena Sch Engn EEL, BR-05508050 Lorena, SP, Brazil"
"Kumaun Univ, Dept Bot, DSB Campus, Naini Tal 263002, India.",29.3911653,79.4459095,"Kumaun Univ, Dept Bot, DSB Campus, Naini Tal 263002, India"
"Natl Bot Res Inst, Lucknow 226001, Uttar Pradesh, India.",26.8537051,80.9484195,"Natl Bot Res Inst, Lucknow 226001, Uttar Pradesh, India"
"Dr Harisingh Gour Vishwavidyalaya Cent Univ, Dept Bot, Ecol Lab, Sagar 470003, Madhya Pradesh, India.",23.8265828,78.7751302,"Dr Harisingh Gour Vishwavidyalaya Cent Univ, Dept Bot, Ecol Lab, Sagar 470003, Madhya Pradesh, India"
"CNRS MAEE, French Inst Pondicherry, UMIFRE 21, USR 3330, 11 St Louis St, Pondicherry 605001, India.",11.9369401,79.8356517,"CNRS MAEE, French Inst Pondicherry, UMIFRE 21, USR 3330, 11 St Louis St, Pondicherry 605001, India"
"Tezpur Univ, Dept Environm Sci, Tezpur 784028, Assam, India.",26.7002961,92.8307601,"Tezpur Univ, Dept Environm Sci, Tezpur 784028, Assam, India"
"Wildlife Inst India, Post Box 18, Dehra Dun 248001, Uttarakhand, India.",30.3077578,78.0490798,"Wildlife Inst India, Post Box 18, Dehra Dun 248001, Uttarakhand, India"
