address,Latitude,Longitude,count,paperID,Latitude,Longitude
NA,,,3,A3105,,
NA,,,3,A3010,,
NA,,,1,A2658,,
NA,,,1,A2911,,
NA,,,1,A2903,,
NA,,,NA,C0254,,
NA,,,1,A3216,,
NA,,,NA,C0065,,
NA,,,NA,B0021,,
NA,,,1,A2803,,
NA,,,NA,B0010,,
NA,,,NA,C0040,,
NA,,,1,A3008,,
NA,,,NA,C0201,,
NA,,,NA,C0142,,
NA,,,NA,B0019,,
NA,,,NA,C0177,,
NA,,,2,A2960,,
NA,,,1,A2862,,
NA,,,1,A2598,,
NA,,,2,A3048,,
NA,,,NA,C0083,,
NA,,,1,A3240,,
NA,,,NA,C0148,,
NA,,,1,A2664,,
NA,,,2,A3146,,
"Assam Agr Univ, Coll Sericulture, Jorhat 785013, Assam, India",26.7247344,94.1935921,1,A2665,,
"Network Conserving Cent India, Ranchi, Bihar, India",25.9644427,85.2722472,1,A1722,,
"Satpuda Fdn, Amravati, India",20.8759211,77.7337629,1,A1722,,
"Ctr Large Landscape Conservat, Bozeman, MT USA",45.6805544,-111.0415821,1,A1722,,
"Columbia Univ, Dept Ecol Evolut & Environm Biol, New York, NY USA",40.8075355,-73.9625727,1,A1722,,
"Thapar Univ, Dept Biotechnol & Environm Studies, Patiala, Punjab, India",30.3529627,76.363638,2,A2129,,
"Natl Inst Tech Teachers Training & Res, Chandigarh 160019, India",30.7303302,76.8000091,2,A2665,,
"Polytech Coimbra, ESTGOH, Rua Gen Santos Costa, P-3400124 Oliveira Do Hosp, Portugal",40.3609438,-7.8611917,1,A2665,,
"Punjabi Univ, Dept Bot, Patiala 147002, Punjab, India",30.3612752,76.4491686,3,A1282,,
NA,,,NA,A3288,,
NA,,,NA,C0169,,
"Indira Gandhi Agr Univ, Dept Forestry, Raipur, Madhya Pradesh, India",23.4298973,77.4149715,1,A1692,,
"Kumaun Univ, Dept Bot, Naini Tal, India",29.3911653,79.4459095,2,A1692,,
"Banaras Hindu Univ, Dept Bot, Varanasi, Uttar Pradesh, India",25.2774555,83.0019211,1,A1692,,
"Indian Inst Technol, Dept Chem Engn, Bombay 400076, Maharashtra, India",19.0560004,72.9120387,3,A2737,,
"North Eastern Reg Inst Sci & Technol, Dept Forestry, Itanagar, India",27.0843682,93.6053163,1,A1341,,
"Assam Univ, Dept Ecol & Environm Sci, Silchar, India",24.6849545,92.7511682,1,A1341,,
"Tripura Univ, Dept Forestry & Biodivers, Agartala, India",23.7640927,91.2603137,1,A1341,,
"Manipur Univ, Dept Life Sci, Imphal, Manipur, India",24.7522876,93.9280425,1,A1341,,
"Sikkim Univ, Dept Bot, Gangtok, India",27.3087859,88.5879671,1,A1341,,
"NE Hill Univ, Dept Environm Studies, Shillong, Meghalaya, India",25.6131418,91.8981471,2,A1341,,
"Dr Rajendra Prasad Cent Agr Univ, Dept Forestry, Samastipur, Bihar, India",25.9845072,85.6743075,1,A1341,,
"Univ Agr Sci Bangalore, Dept Crop Physiol, Bangalore, Karnataka, India",13.0799129,77.5791903,2,A1032,,
"Univ Agr Sci Bangalore, Sch Ecol & Conservat, Bangalore, Karnataka, India",12.9909542,77.5970657,4,A1032,,
"Ashoka Trust Res Ecol & Environm, Conservat Genet Lab, Bangalore, Karnataka, India",12.9849591,77.5461221,3,A1032,,
"Univ Agr Sci Bangalore, Dept Forestry & Environm Sci, Bangalore, Karnataka, India",12.9909542,77.5970657,1,A1032,,
"Inst Terr Ecosyst, Zurich, Switzerland",47.3768866,8.541694,1,A1032,,
