address,Latitude,Longitude,count,paperID
"Chinese Acad Sci, XTBG, Key Lab Trop Forest Ecol, Menglun Town 666303, Yunnan, Peoples R China",21.935158,101.248868,2,A3105
"Chinese Acad Sci, XTBG, Ctr Integrat Conservat, Menglun Town 666303, Yunnan, Peoples R China",21.935158,101.248868,1,A3105
"Guangxi Univ, Coll Forestry, Guangxi Key Lab Forest Ecol & Conservat, Daxuedonglu 100, Nanning 530004, Peoples R China",22.8167299,108.3669,1,A3105
"Pondicherry Univ, Dept Ecol & Environm Sci, Kalapet 605014, Puducherry, India",12.0182619,79.8568461,1,A3105
"Bharathiar Univ, Dept Bot, Root & Soil Biol Lab, Coimbatore 641046, Tamil Nadu, India",11.041465,76.8374995,1,A3105
"Shanghai Jiao Tong Univ, Sch Environm Sci & Engn, Shanghai 200240, Peoples R China",31.0252201,121.4337784,1,A0784
"Univ Lancaster, Pentland Ctr, Lancaster LA1 1YW, England",54.0103942,-2.7877294,2,A0784
"Univ Educ, Lahore, Pakistan",31.5203696,74.3587473,1,A0784
"Shanghai Jiao Tong Univ, Sch Int & Publ Affairs, Shanghai 200030, Peoples R China",31.197783,121.436073,1,A0784
"Shanghai Jiao Tong Univ, China Inst Urban Governance, 800 Dongchuan Rd, Shanghai 200240, Peoples R China",31.0252201,121.4337784,1,A0784
"Shanghai Inst Pollut Control & Ecol Secur, Shanghai 200092, Peoples R China",31.230416,121.473701,1,A0784
NA,,,3,A3105
NA,,,3,A3010
NA,,,1,A2658
NA,,,1,A2911
NA,,,1,A2903
"Mizoram Univ, Dept Forestry, Aizawl 796004, India",23.7364942,92.6642456,2,A1219
NA,,,NA,C0254
"Univ Yangon, Dept Zool, Kamayut Township 11041, Yangon, Myanmar",16.8331492,96.1361704,4,A1722
"Minist Agr Livestock & Irrigat, Dept Fisheries, Naypyitaw, Myanmar",19.7633057,96.0785104,3,A1722
"Tokyo Univ Marine Sci & Technol, Grad Sch Marine Sci & Technol, Minato Ku, Tokyo 1088477, Japan",35.6268836,139.7486366,5,A1722
"Khulna Univ, Fisheries & Marine Resources Technol Discipline, Khulna 9208, Bangladesh",22.845641,89.5403279,1,A1722
NA,,,1,A3216
NA,,,NA,C0065
"Kerala Agr Univ, Coll Forestry, KAU PO, Trichur 680656, Kerala, India",10.5507081,76.2739795,3,A1692
"Kerala Agr Univ, Coll Forestry, Dept Silviculture & Agroforestry, KAU PO, Trichur 680656, Kerala, India",10.5448532,76.2863548,1,A1692
"Arunachal Univ Studies, Namsai 792103, Arunachal Prad, India",27.6474202,95.8702558,1,A1692
"Dalhousie Univ, Dept Phys & Atmospher Sci, Halifax, NS, Canada",44.6365812,-63.5916555,5,A1692
"Harvard Smithsonian Ctr Astrophys, 60 Garden St, Cambridge, MA 02138 USA",42.3814329,-71.1280685,1,A1692
