cor.locs,Latitude,Longitude
"Natl Inst Technol, Dept Appl Geol, Raipur, CG, India.",21.2513844,81.6296413
"Infosys Ltd, Hyderabad, India.",17.385044,78.486671
"CSIR, Natl Bot Res Inst, Lucknow 226001, Uttar Pradesh, India.",26.8594354,80.9308304
"Univ Agr & Hort Sci, Dept Nat Resource Management, Coll Forestry, Kodagu 571216, Karnataka, India.",12.1027291,76.01598
"Uttarakhand Space Applicat Ctr 131, Dept Forest Ecol & Climate Change, Phase 2, Dehra Dun 248006, Uttarakhand, India.",30.3459244,78.0439734
"Bihar Agr Univ, Dept Soil Sci & Agr Chem, Bhagalpur 813210, Bihar, India.",25.2313819,87.0824045
"Cent Univ Orissa, Dept Biodivers & Conservat Nat Resources, Landiguda 764021, Koraput, India.",18.7769895,82.742228
"Univ South Dakota, Dept Comp Sci, Vermillion, SD 57069 USA.",42.7883015,-96.9253381
"Univ Agr Sci Bangalore, GKVK, Div Hort, Plant Mol Biol Lab, Bangalore 560065, Karnataka, India.",13.0814041,77.5664239
"Salim Ali Ctr Ornithol & Nat Hist, 12-13-588-B, Hyderabad 500017, Andhra Pradesh, India.",16.5541764,79.5584909
"Ashoka Trust Res Ecol & Environm, Bangalore 560064, Karnataka, India.",13.0642925,77.6202162
"Dr Hari Singh Gour Vishwavidyalaya, Forest Ecol & Ecosyst Lab, Dept Bot, Sagar 470003, Madhya Pradesh, India.",23.8265828,78.7751302
"CSKHPKV, Dept Plant Breeding & Genet, FPGMC, Palampur 176062, Himachal Prades, India.",32.0931135,76.5546031
"Univ Sheffield, Dept Anim & Plant Sci, Western Bank, Sheffield S10 2TN, S Yorkshire, England.",53.3817753,-1.4870614
"Indian Agr Res Inst, Div Fruits & Hort Technol, New Delhi 110012, India.",28.6282145,77.1493904
"Mizoram Univ, Dept Bot, Aizawl, Mizoram, India.",23.7332381,92.6654329
"Natl Bot Res Inst, Biomass Biol Div, 1 Rana Pratap Marg, Lucknow 226001, Uttar Pradesh, India.",26.8576084,80.9382574
"Panjab Univ, Dept Bot, Chandigarh 160014, India.",30.7582935,76.7642204
"Jawaharlal Nehru Univ, Sch Life Sci, Natl Ctr Appl Human Genet, New Delhi 110067, India.",28.5398035,77.1664047
"China Med Univ, Dept Med Lab Sci & Biotechnol, 91 Hsueh Shih Rd, Taichung 404, Taiwan.",24.1573171,120.6832556
NA,,
NA,,
"Vimix Solut Private Ltd, Dehra Dun 248001, India.",30.3345816,78.0537813
"Indian Inst Technol Kharagpur, Ctr Oceans Rivers Atmosphere & Land Sci, Kharagpur 721302, W Bengal, India.",22.4433434,87.3238672
"Polish Acad Sci, Dept Geoenvironm Res, Inst Geog & Spatial Org, Jana 22, PL-31018 Krakow, Poland.",50.064357,19.9391795
"Indian Inst Soil Sci, Nabibagh,Berasia Rd, Bhopal 462038, India.",23.3077978,77.4069479
NA,,
"Birla Inst Technol, Remote Sensing Dept, Ranchi 835215, Jharkhand, India.",23.4127781,85.4417735
NA,,
NA,,
NA,,
"IIT Kanpur, Ctr Environm Sci & Engn CESE, Atmospher Particle Technol Lab, Kanpur 208016, Uttar Pradesh, India.",26.5123388,80.2329
"Wildlife Inst India, Dept Ecodev Planning & Participatory Management, Dehra Dun, India.",30.2834983,77.9735518
"Univ Delhi, Dept Bot, Delhi 110007, India.",28.688279,77.214811
"Kumaun Univ, Dept Bot, DSB Campus, Naini Tal 263001, Uttarakhand, India.",29.3911653,79.4459095
"Vidyasagar Univ, Midnapore, W Bengal, India.",22.4319869,87.2978852
"Birla Inst Technol, Dept Remote Sensing, Ranchi 835215, Bihar, India.",25.9644427,85.2722472
"North Eastern Reg Inst Sci & Technol, Dept Forestry, Restorat Ecol Lab, Nirjuli 791109, Arunachal Prade, India.",27.1178324,93.7485874
"United Nations Univ, ITC Sch Disaster Geoinformat Management, Int Inst Geoinformat Sci & Earth Observat ITC, Hengelosestr 99,POB 6, NL-7500 AA Enschede, Netherlands.",52.2238418,6.8861225
"Berhampur Univ, Dept Bot, Ecol & Florist Lab, Berhampur 760007, Orissa, India.",19.3016903,84.8830194
"Swedish Univ Agr Sci, Dept Urban & Rural Dev, Box 7012, SE-75007 Uppsala, Sweden.",59.8585638,17.6389267
"Aligarh Muslim Univ, Dept Wildlife Sci, Aligarh 202002, Uttar Pradesh, India.",27.9112774,78.080121
"Natl Inst Plant Genome Res, New Delhi 110067, India.",28.5306795,77.1664768
"Banasthali Vidhyapith, Dept Biosci & Biotechnol, Banasthali 304022, Rajasthan, India.",26.389791,75.8708242
"Bihar Agr Univ, Bhagalpur 813210, India.",25.2376196,87.0507325
"Pondicherry Univ, Dept Ecol & Environm Sci, Puducherry 605014, India.",12.0182619,79.8568461
"Bharati Vidyapeeth Inst Environm Educ & Res BVIEE, Pune, Maharashtra, India.",18.4602552,73.8521184
NA,,
"Uttar Banga Krishi Viswavidyalaya, Dept Forestry, Cooch Behar, W Bengal, India.",26.4035184,89.3850298
"Ashoka Trust Res Ecol & Environm, Jakkur PO, Bangalore 560064, Karnataka, India.",13.0642925,77.6202162
"Int Crops Res Inst Semi Arid Trop, Greater Hyderabad 502324, Andhra Pradesh, India.",15.9128998,79.7399875
"SUNY Coll Environm Sci & Forestry, Dept Environm & Forest Biol, 1 Forestry Dr, Syracuse, NY 13210 USA.",43.0345102,-76.1366182
"Majmaah Univ, Coll Appl Med Sci, Dept Med Lab Sci, Al Majmaah 11952, Saudi Arabia.",25.8758866,45.3730695
"Periyar Univ, Dept Geol, Salem 636011, India.",11.7201211,78.0791873
NA,,
"GB Pant Inst Himalayan Environm & Dev, Environm Assessment & Management Div, Almora 263643, Uttarakhand, India.",29.6271446,79.5884369
"Cent Univ South Bihar, Sch Earth Biol & Environm Sci, Ctr Biol Sci Biotechnol, Patna 800014, Bihar, India.",25.6164189,85.1411084
"Govt India, Dept Space, Natl Remote Sensing Agcy, Hyderabad 500037, Andhra Pradesh, India.",15.9128998,79.7399875
"ISRO, Indian Inst Remote Sensing, Dehra Dun 248001, Uttar Pradesh, India.",27.5705886,80.0981869
"Minist Environm Forest & Climate Change MoEFCC, Natl Ctr Sustainable Coastal Management NCSCM, Anna Univ Campus, Chennai 600025, Tamil Nadu, India.",13.013487,80.2332271
"Sher E Kashmir Univ Agr Sci & Technol Jammu, Div Entomol, Chatha, India.",32.6529152,74.8071132
"Sathyabama Inst Sci & Technol, Ctr Remote Sensing & Geoinformat, Chennai 600119, Tamil Nadu, India.",12.8713372,80.222404
NA,,
NA,,
"Univ Mysore, Inst Excellence, Mysore, Karnataka, India.",12.3558876,76.6354054
"Tlemcen Univ, Biol Dept, Tilimsen, Algeria.",34.8828864,-1.3166815
"Univ Oxford, Dept Zool, Long Term Ecol Lab, Oxford OX1 3PS, England.",51.758052,-1.2549589
"St Longowal Inst Engn & Technol, Dept Chem Engn, Longowal 148106, Sangrur, India.",30.2213855,75.6996642
"Natl Inst Res TB, 1 Mayor Sathyamoorthy Rd, Chennai 600031, Tamil Nadu, India.",13.0739281,80.2489993
"Leibniz Ctr Agr Landscape Res ZALF, Eberswalder Str 84, D-15374 Muncheberg, Germany.",52.5158508,14.1129137
"CSIR, Cent Inst Min & Fuel Res, Environm Management Div, Digwadih Campus, Dhanbad 828108, Bihar, India.",23.7066203,86.4132148
"Bidhan Chandra Krishi Viswavidyalaya, Kalyani 741235, W Bengal, India.",22.9452453,88.5335715
"ISRO, Natl Remote Sensing Ctr, Hyderabad 500037, Andhra Pradesh, India.",15.9128998,79.7399875
"Natl DNA Anal Ctr, Cent Forens Sci Lab, 30 Gorachand Rd, Kolkata 700014, India.",22.5464132,88.3704942
"Pondicherry Univ, Dept Ecol & Environm Sci, Pondicherry 605014, India.",12.0182619,79.8568461
NA,,
"Jawaharlal Nehru Univ, Sch Environm Sci, New Delhi 110067, India.",28.5398035,77.1664047
"Univ Illinois, Dept Sci Biol, SES, M-C 066,845 W Taylor St, Chicago, IL 60607 USA.",41.8689431,-87.6486317
"Post Grad Inst Med Educ & Res, Sch Publ Hlth, Sect 12, Chandigarh 160012, India.",30.7667459,76.7773869
NA,,
NA,,
"Dow Univ Hlth Sci, Dow Int Med Coll, Dept Pathol Mol Pathol, Karachi, Pakistan.",24.9463692,67.1405867
NA,,
"NATL ENVIRONM ENGN RES INST,NAGPUR 440020,MAHARASHTRA,INDIA.",21.1180237,79.0566763
NA,,
"Kerala Agr Univ, Acad Climate Change Educ & Res, Trichur 680656, Kerala, India.",10.5507081,76.2739795
"Zool Survey India, Kolkata, W Bengal, India.",22.572646,88.363895
