"address","lat","long"
"52 Hamzah Colony Bemina, Srinagar, Jammu & Kashmir, India",34.0786607,74.7658918
"Aban Infrastruct Pvt Ltd, Biotechnol Div, 113 Pantheon Rd, Madras 600008, Tamil Nadu, India",13.0697121,80.2574122
"Abasaheb Garware Coll, Annasaheb Kulkarni Dept Biodivers, Pune 4, Maharashtra, India",18.5116964,73.8391238
"Abasaheb Garware Coll, Dept Zool, Pune 4, Maharashtra, India",18.5116964,73.8391238
"Abdus Salam Int Ctr Theoret Phys, Earth Syst Phys, I-34151 Trieste, Italy",45.69477,13.7794937
"Abellon CleanEnergy Ltd, Sangeeta Complex, Ahmadabad 380006, Gujarat, India",23.0348485,72.5654557
"Acad Sci & Innovat Res AcSIR, CSIR, New Delhi, India",28.6184547,77.2120814
"Acad Sci & Innovat Res AcSIR, Ghaziabad 201002, Uttar Pradesh, India",28.6880422,77.4653861
"Acad Sci & Innovat Res AcSIR, Ghaziabad, India",28.6880422,77.4653861
"ACTREC, Kharghar, India",19.064555,73.0654071
"Adama Sci & Technol Univ, Dept Appl Biol, Adama 1888, Ethiopia",8.5688584,39.2944549
"Addis Ababa Univ, Coll Nat & Computat Sci, Dept Stat, Addis Ababa 1000, Ethiopia",8.9806034,38.7577605
"Affiliated Bharathidasan Univ, Jamal Mohamed Coll Autonomous, PG & Res Dept Bot, Tiruchirappalli 620020, Tamil Nadu, India",10.7864998,78.6958026
"Agr & Agri Food Canada, Environm Hlth, Cent Expt Farm, Ottawa, ON K1A 0C6, Canada",45.284198,-75.767392
"Agr Scientist Recruitment Board, New Delhi 112001, India",28.6139391,77.2090212
"Agr Univ, Kota Agr Res Stn, Kota 324001, India",25.181418,75.888499
"AgroParisTech, F-75321 Paris 05, France",48.840813,2.3519279
"Agroscope, CH-3097 Bern, Switzerland",46.930062,7.4230109
"Aligarh Muslim Univ, Dept Wildlife Sci, Aligarh 202002, Uttar Pradesh, India",27.9112774,78.080121
"Alvas Coll, Post Grad Dept Biotechnol, Moodbidri 574227, Karnataka, India",13.0624852,74.9770224
"Ambedkar Univ Delhi, Ctr Urban Ecol & Sustainabil CUES, Delhi 110006, India",28.6626824,77.2338696
"Ambedkar Univ Delhi, Sch Human Ecol, Delhi 110006, India",28.6626824,77.2338696
"Amer Museum Nat Hist, Dept Entomol, New York, NY 10024 USA",40.7813241,-73.9739882
"Amity Univ, Amity Coll Commerce & Finance, Noida, India",28.5442072,77.3318903
"Amity Univ, Amity Inst Biotechnol, Sect 125, Noida 201303, Uttar Pradesh, India",28.5442072,77.3318903
"Amity Univ, Amity Inst Global Warming & Ecol Studies, Noida, India",28.5442072,77.3318903
"Amrita Vishwa Vidyapeetham, Ctr Computat Engn & Networking, Coimbatore, Tamil Nadu, India",10.9026791,76.9006279
"Amrita Vishwa Vidyapeetham, Dept Sci, Amrita Sch Arts & Sci, Mysuru Campus, Mysuru 570026, Karnataka, India",12.3021786,76.6046405
"Anderson Univ, Coll Engn, Dept Elect & Comp Engn, Anderson, SC USA",34.5462454,-82.6758317
"Andhra Univ, Dept Bot, Visakhapatnam 530, Visakhapatnam 003, Andhra Pradesh, India",17.7287213,83.3241592
"Anna Univ, Inst Remote Sensing, Madras 600025, Tamil Nadu, India",13.0092665,80.2364295
"Annamalai Univ, Ctr Adv Study Marine Biol, Fac Marine Sci, Parangipettai 608502, Tamil Nadu, India",11.4914533,79.7653509
"Annamalai Univ, Fac Marine Sci, Ctr Adv Study Marine Biol, Parangipettai 608502, Tamil Nadu, India",11.4914533,79.7653509
"Argonne Natl Lab, Decis & Informat Sci Div, 9700 S Cass Ave, Argonne, IL 60439 USA",41.7182827,-87.9788697
"Arignar Anna Govt Arts Coll, Dept Bot, Namakkal 637002, Tamil Nadu, India",11.1731006,78.1660626
"Arizona State Univ, Ctr Evolutionary Med & Informat, Biodesing Inst, Tempe, AZ USA",33.4194179,-111.9283165
"Arunachal Univ Studies, Namsai 792103, Arunachal Prad, India",27.6474202,95.8702558
"Ashoka Trust Res Ecol & Environm, Bangalore 560064, Karnataka, India",13.0642925,77.6202162
"Ashoka Trust Res Ecol & Environm, Bengaluru, India",13.0642925,77.6202162
"Ashoka Trust Res Ecol & Environm, Conservat Genet Lab, Bangalore, Karnataka, India",12.9849591,77.5461221
"Ashoka Trust Res Ecol & Environm, Jakkur PO, Bangalore 560064, Karnataka, India",13.0642925,77.6202162
"Ashoka Trust Res Ecol & Environm, Suri Sehgal Ctr Biodivers & Conservat, Bangalore 560064, Karnataka, India",13.0716618,77.6484903
"Ashoka Trust Res Ecol Environm, Ctr Biodivers & Conservat, Bengaluru 560064, Karnataka, India",13.0642925,77.6202162
"Asia Univ, Dept Med Lab Sci & Biotechnol, Taichung 41354, Taiwan",24.0461479,120.6874019
"Assam Agr Univ, Coll Sericulture, Jorhat 785013, Assam, India",26.7247344,94.1935921
"Assam Agr Univ, Coll Vet Sci, Dept Anim Biotechnol, Khanapara 781022, Assam, India",26.1212925,91.8215716
"Assam Agr Univ, Directorate Extens Educ, Jorhat 785013, Assam, India",26.7247344,94.1935921
"Assam Agr Univ, Krishi Vigyan Kendra, Diphu 782462, Assam, India",25.8747231,93.4464235
"Assam Agr Univ, Reg Agr Res Stn, Karbi Anglong 782462, Assam, India",25.6712272,93.3792057
"Assam Univ, Dept Ecol & Environm Sci, Silchar 788011, Assam, India",24.6849545,92.7511682
"Assam Univ, Dept Ecol & Environm Sci, Silchar, India",24.6849545,92.7511682
"Atom Minerals Directorate Explorat & Res, Hyderabad 500016, Andhra Pradesh, India",15.9128998,79.7399875
"ATREE, Bangalore 560064, Karnataka, India",13.0642925,77.6202162
"ATREE, Suri Sehgal Ctr Biodivers & Conservat, Bangalore 560064, Karnataka, India",13.0642925,77.6202162
"ATREE, Suri Sehgal Ctr Biodivers & Conservat, Juakkur PO, Bangalore 560064, Karnataka, India",13.0642925,77.6202162
"AVC Coll, Postgrad & Res Dept Zool & Wildlife Biol, Mayiladuthurai 609305, Tamil Nadu, India",11.1042991,79.6924649
"Azim Premji Univ, PES Inst Technol Campus, Sch Dev, Bangalore 560100, Karnataka, India",12.8452628,77.7768752
"Azim Premji Univ, Sch Dev, PES Inst Technol Campus,Pixel Pk,B Block,Hosur Rd, Bengaluru 560100, Karnataka, India",12.8614515,77.6647081
"Azorean Biodivers Grp, CE3C, P-9700042 Angra Do Heroismo, Acores, Portugal",38.661903,-27.231815
"B2-M91 SBI Colony,Sect B, Lucknow 226021, Uttar Pradesh, India",26.9078416,80.9450271
"Banaras Hindu Univ, Dept Appl Agr, Rajiv Gandhi South Campus, Mirzapur 231001, India",25.0579088,82.5997545
"Banaras Hindu Univ, Dept Bot, Varanasi 221005, Uttar Pradesh, India",25.2774555,83.0019211
"Banaras Hindu Univ, Dept Bot, Varanasi, Uttar Pradesh, India",25.2774555,83.0019211
"Banaras Hindu Univ, Dept Entomol & Agr Zool, Inst Agr Sci, Varanasi 221005, Uttar Pradesh, India",25.266519,82.9923467
"Banaras Hindu Univ, Dept Entomol & Agr Zool, Varanasi 221005, Uttar Pradesh, India",25.2774555,83.0019211
"Banaras Hindu Univ, Inst Environm & Sustainable Develeopment, Varanasi, Uttar Pradesh, India",25.3176452,82.9739144
"Banasthali Vidhyapith, Dept Biosci & Biotechnol, Banasthali 304022, Rajasthan, India",26.389791,75.8708242
"Bangabandhu Sheikh Mujibur Rahman Sci & Technol Un, Dept Comp Sci & Engn, Gopalganj, Bangladesh",23.0130139,89.8224054
"Bangalore Univ, Dept Sericulture, Bangalore 560056, Karnataka, India",12.9504095,77.5024372
"Bangalore Univ, Dept Studies Zool, Bengaluru 560056, Karnataka, India",12.9504095,77.5024372
"Bangalore Univ, Dept Studies Zool, Jnana Bharathi Campus, Bengaluru 560056, Karnataka, India",12.9504095,77.5024372
"Bangor Univ, Sch Environm Nat Resources & Geog SENRGY, Bangor LL57 2UW, Gwynedd, Wales",53.2261504,-4.1316678
"Bees Dev, Monmouth NP25 9AA, Gwent, Wales",51.8116533,-2.7163045
"Beijing Inst Technol, Sch Management & Econ, Beijing 100081, Peoples R China",39.9603704,116.3123886
"Ben Gurion Univ Negev, Eilat Campus,POB 272, IL-88000 Elat, Israel",29.557669,34.951925
"Berhampur Univ, Dept Bot, Ecol & Florist Lab, Berhampur 760007, Orissa, India",19.3016903,84.8830194
"Berkeley Seismol Lab, Berkeley, CA 94720 USA",37.8718992,-122.2585399
"BGI Shenzhen, Shenzhen 518083, Peoples R China",22.5989799,114.31321
"Bhabha Atom Res Ctr, Astrophys Sci Div, Nucl Res Lab, Srinagar, Jammu & Kashmir, India",34.0836708,74.7972825
"Bharathiar Univ, Coimbatore, Tamil Nadu, India",11.0390221,76.87642
"Bharathiar Univ, Dept Bot, Coimbatore 641046, Tamil Nadu, India",11.0390221,76.87642
"Bharathiar Univ, Dept Bot, Root & Soil Biol Lab, Coimbatore 641046, Tamil Nadu, India",11.041465,76.8374995
"Bharathidasan Univ, Ctr Remote Sensing, Tiruchirappalli, Tamil Nadu, India",10.7778278,78.6957101
"Bharathidasan Univ, Dept Environm Biotechnol, Tiruchirappalli, Tamil Nadu, India",10.7778591,78.6966603
"Bharathidasan Univ, Dept Geog, Tiruchirappalli, Tamil Nadu, India",10.6779085,78.7445488
"Bharathidasan Univ, Sch Life Sci, Dept Bot, Tiruchirappalli 620024, Tamil Nadu, India",10.6822075,78.7427168
"Bharati Vidyapeeth Inst Environm Educ & Res BVIEE, Pune, Maharashtra, India",18.4602552,73.8521184
"Bidhan Chandra Krishi Viswavidyalaya, Dept Agr Chem & Soil Sci, Fac Agr, Nadia 741252, W Bengal, India",22.9452453,88.5335715
"Bidhan Chandra Krishi Viswavidyalaya, Dept Agr Meteorol & Phys, Mohanpur, India",22.9452453,88.5335715
"Bidhan Chandra Krishi Viswavidyalaya, Kalyani 741235, W Bengal, India",22.9452453,88.5335715
"Bidhan Chandra Krishi Viswavidyalaya, Mohanpur 741252, West Bengal, India",22.9452453,88.5335715
"Bidhan Chandra Krishi Viswavidyalaya, Res Directorate, AICRP Groundnut, Nadia, W Bengal, India",22.9452453,88.5335715
"Bihar Agr Univ, Bhagalpur 813210, India",25.2376196,87.0507325
"Bihar Agr Univ, Dept Soil Sci & Agr Chem, Bhagalpur 813210, Bihar, India",25.2313819,87.0824045
"Biodivers Int, 93-4 Dharhara Marg,Ward 11, Fulbari, Pokhara, Nepal",28.2394466,84.0107314
"Bioinformat Grp, Pune, Maharashtra, India",18.5280141,73.8942459
"Birbal Sahni Inst Palaeosci, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India",26.8671761,80.9392066
"Birbal Sahni Inst Palaeosci, 53 Univ Rd, Lucknow, Uttar Pradesh, India",26.8671761,80.9392066
"Birbal Sahni Inst Palaeosci, Quaternary Div, 53 Univ Rd, Lucknow, Uttar Pradesh, India",26.8671761,80.9392066
"Birbal Sahni Inst Paleobot, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India",26.8671761,80.9392066
"Birbal Sahni Inst Paleobot, Lucknow 226007, Uttar Pradesh, India",26.8671761,80.9392066
"Birbal Sahni Inst Paleobot, Quaternary Palynol Dept, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India",26.8671761,80.9392066
"Birbal Sahni Inst Paleobot, Quaternary Palynol Lab, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India",26.8671761,80.9392066
"Birla Inst Technol, Dept Remote Sensing, Ranchi 835215, Bihar, India",25.9644427,85.2722472
"Birla Inst Technol, Remote Sensing Dept, Ranchi 835215, Jharkhand, India",23.4127781,85.4417735
"BIT, Dept Remote Sensing, Ranchi 835215, Jharkhand, India",23.4127781,85.4417735
"Bombay Nat Hist Soc, Bombay 400001, Maharashtra, India",18.9558178,72.8359208
"Bose Inst, Dept Microbiol, P-1-12,CIT Scheme 7-M, Kolkata 700054, W Bengal, India",22.5862073,88.3935905
"Bose Inst, Kolkata 700001, India",22.5862302,88.3935549
"Boston Univ, Boston, MA 02215 USA",42.3504997,-71.1053991
"Bot Discipline FRI Dehradun, Plant Physiol Div, Dehra Dun 248006, India",30.3438262,77.9978107
"Brien Holden Vis Inst, Sydney, NSW, Australia",-33.7680812,150.9902364
"Brown Univ, Div Biol & Med, Providence, RI 02912 USA",41.8286128,-71.4030999
"BVRM, SVECW, Civil Engn Dept, Bhimvaram, India",16.5445173,81.5369989
"Cambridge Univ Bot Garden, 1 Brookside, Cambridge CB2 1JF, England",52.1936373,0.1273479
"Campbell Collaborat, New Delhi, India",28.6139391,77.2090212
"Can Tho Univ Med & Pharm, Fac Med, Can Tho 94117, Vietnam",10.0299337,105.7706153
"CAR Cent Soil Salin Res Inst, Reg Res Stn, Lucknow 226002, Uttar Pradesh, India",26.7809628,80.9981576
"Cardiff Univ, Sch Biosci, Catchment Res Grp, POB 915, Cardiff CF1 3TL, S Glam, Wales",51.483707,-3.1680962
"Catholic Univ Bukavu, Fac Agron Sci, Bukavu, Rep Congo",-2.5123017,28.8480284
"CCS Haryana Agr Univ, Hisar 125004, Haryana, India",29.1307214,75.6847085
"CEEW, New Delhi, India",28.5430152,77.1480712
"Cent Arid Zone Res Inst, Jodhpur 342003, Rajasthan, India",26.2484769,72.9976487
"CENT ARID ZONE RES INST, JODHPUR 342003, RAJASTHAN, INDIA",26.2484769,72.9976487
"Cent Food Technol Res Inst, Fermentat Technol & Bio Engn Dept, Mysore 500020, Karnataka, India",12.2958104,76.6393805
"Cent Hort Expt Stn, Vejalpur, Gujarat, India",22.6898334,73.5626805
