"","address","count","paperID","Latitude","Longitude"
"1","0","0","0",NA,NA
"27",NA,"3","A3105",NA,NA
"34",NA,"3","A3010",NA,NA
"41",NA,"1","A2658",NA,NA
"45",NA,"1","A2911",NA,NA
"49",NA,"1","A2903",NA,NA
"51",NA,NA,"C0254",NA,NA
"56",NA,"1","A3216",NA,NA
"57",NA,NA,"C0065",NA,NA
"65",NA,NA,"B0021",NA,NA
"66",NA,"1","A2803",NA,NA
"70",NA,NA,"B0010",NA,NA
"71",NA,NA,"C0040",NA,NA
"82",NA,"1","A3008",NA,NA
"83",NA,NA,"C0201",NA,NA
"86",NA,NA,"C0142",NA,NA
"87",NA,NA,"B0019",NA,NA
"88",NA,NA,"C0177",NA,NA
"110",NA,"2","A2960",NA,NA
"114",NA,"1","A2862",NA,NA
"115",NA,"1","A2598",NA,NA
"116",NA,"2","A3048",NA,NA
"125",NA,NA,"C0083",NA,NA
"130",NA,"1","A3240",NA,NA
"142",NA,NA,"C0148",NA,NA
"150",NA,"1","A2664",NA,NA
"151",NA,"2","A3146",NA,NA
"157","Assam Agr Univ, Coll Sericulture, Jorhat 785013, Assam, India","1","A2665",NA,NA
"158","Network Conserving Cent India, Ranchi, Bihar, India","1","A1722",NA,NA
"159","Satpuda Fdn, Amravati, India","1","A1722",NA,NA
"160","Ctr Large Landscape Conservat, Bozeman, MT USA","1","A1722",NA,NA
"161","Columbia Univ, Dept Ecol Evolut & Environm Biol, New York, NY USA","1","A1722",NA,NA
"162","Thapar Univ, Dept Biotechnol & Environm Studies, Patiala, Punjab, India","2","A2129",NA,NA
"163","Natl Inst Tech Teachers Training & Res, Chandigarh 160019, India","2","A2665",NA,NA
"164","Polytech Coimbra, ESTGOH, Rua Gen Santos Costa, P-3400124 Oliveira Do Hosp, Portugal","1","A2665",NA,NA
"165","Punjabi Univ, Dept Bot, Patiala 147002, Punjab, India","3","A1282",NA,NA
"166",NA,NA,"A3288",NA,NA
"167",NA,NA,"C0169",NA,NA
"168","Indira Gandhi Agr Univ, Dept Forestry, Raipur, Madhya Pradesh, India","1","A1692",NA,NA
"169","Kumaun Univ, Dept Bot, Naini Tal, India","2","A1692",NA,NA
"170","Banaras Hindu Univ, Dept Bot, Varanasi, Uttar Pradesh, India","1","A1692",NA,NA
"171","Indian Inst Technol, Dept Chem Engn, Bombay 400076, Maharashtra, India","3","A2737",NA,NA
