"","cor.locs","Latitude","Longitude","cor.locs2"
"6","Chinese Acad Sci, XTBG, Key Lab Trop Forest Ecol, Menglun Town 666303, Yunnan, Peoples R China.",NA,NA,"Chinese Acad Sci, XTBG, Key Lab Trop Forest Ecol, Menglun Town 666303, Yunnan, Peoples R China"
"7","Shanghai Jiao Tong Univ, Sch Int & Publ Affairs, Shanghai 200030, Peoples R China.",NA,NA,"Shanghai Jiao Tong Univ, Sch Int & Publ Affairs, Shanghai 200030, Peoples R China"
"8",NA,NA,NA,NA
"23","Mizoram Univ, Dept Forestry, Aizawl 796004, India.",NA,NA,"Mizoram Univ, Dept Forestry, Aizawl 796004, India"
"24",NA,NA,NA,NA
"25","Tokyo Univ Marine Sci & Technol, Grad Sch Marine Sci & Technol, Minato Ku, Tokyo 1088477, Japan.",NA,NA,"Tokyo Univ Marine Sci & Technol, Grad Sch Marine Sci & Technol, Minato Ku, Tokyo 1088477, Japan"
"26","WWF INDIA,IGCMC,172-B,LODI ESTATE,NEW DELHI 110003,INDIA.",NA,NA,"WWF INDIA,IGCMC,172-B,LODI ESTATE,NEW DELHI 110003,INDIA"
"27",NA,NA,NA,NA
"28","Kerala Agr Univ, Coll Forestry, Dept Silviculture & Agroforestry, KAU PO, Trichur 680656, Kerala, India.",NA,NA,"Kerala Agr Univ, Coll Forestry, Dept Silviculture & Agroforestry, KAU PO, Trichur 680656, Kerala, India"
"29","Dalhousie Univ, Dept Phys & Atmospher Sci, Halifax, NS, Canada.",NA,NA,"Dalhousie Univ, Dept Phys & Atmospher Sci, Halifax, NS, Canada"
"30","Guru Nanak Dev Univ, Guru Ramdas Sch Planning, Amritsar 143005, Punjab, India.",NA,NA,"Guru Nanak Dev Univ, Guru Ramdas Sch Planning, Amritsar 143005, Punjab, India"
"31",NA,NA,NA,NA
"34",NA,NA,NA,NA
"35",NA,NA,NA,NA
"40",NA,NA,NA,NA
"42",NA,NA,NA,NA
"43",NA,NA,NA,NA
"44",NA,NA,NA,NA
"61",NA,NA,NA,NA
"63","IIT Kharagpur, CORAL, Kharagpur, India.",NA,NA,"IIT Kharagpur, CORAL, Kharagpur, India"
"64","PURDUE UNIV, DEPT FORESTRY & NAT RESOURCES, 1159 FORESTRY BLDG, W LAFAYETTE, IN 47907 USA.",NA,NA,"PURDUE UNIV, DEPT FORESTRY & NAT RESOURCES, 1159 FORESTRY BLDG, W LAFAYETTE, IN 47907 USA"
"65","Birbal Sahni Inst Paleobot, Quaternary Palynol Dept, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India.",NA,NA,"Birbal Sahni Inst Paleobot, Quaternary Palynol Dept, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India"
"66","Natl Res Ctr Agroforestry, Near Pahuj Dam,Gwalior Rd, Jhansi 284003, Uttar Pradesh, India.",NA,NA,"Natl Res Ctr Agroforestry, Near Pahuj Dam,Gwalior Rd, Jhansi 284003, Uttar Pradesh, India"
"67","Univ Kerala, Accredited Ctr Res, Jawaharlal Nehru Trop Bot Garden & Res Inst JNTBG, Biotechnol & Bioinformat Div, Thiruvananthapuram 695562, Kerala, India.",NA,NA,"Univ Kerala, Accredited Ctr Res, Jawaharlal Nehru Trop Bot Garden & Res Inst JNTBG, Biotechnol & Bioinformat Div, Thiruvananthapuram 695562, Kerala, India"
"68","CSIR Natl Bot Res Inst NBRI, Bot Garden Div, Rana Pratap Marg, Lucknow 226001, Uttar Pradesh, India.",NA,NA,"CSIR Natl Bot Res Inst NBRI, Bot Garden Div, Rana Pratap Marg, Lucknow 226001, Uttar Pradesh, India"
"69",NA,NA,NA,NA
"70","Indian Inst Technol, Indian Sch Mines, Dept Appl Geol, Coal Geol & Organ Petrol Lab, Dhanbad 826004, Jharkhand, India.",NA,NA,"Indian Inst Technol, Indian Sch Mines, Dept Appl Geol, Coal Geol & Organ Petrol Lab, Dhanbad 826004, Jharkhand, India"
"71","Sheikh ul Aalam Mem SAM Govt Degree Coll, Dept Bot, Budgam Kashmir 191111, J&K, India.",NA,NA,"Sheikh ul Aalam Mem SAM Govt Degree Coll, Dept Bot, Budgam Kashmir 191111, J&K, India"
